ticker,variable_method,model_name,MSE,RMSE,MAE,R2,Directional Accuracy (%),long_only_Final Capital ($),long_only_Total Buy Transactions,long_only_Total Short Transactions,long_only_Volatility (Annualized),long_only_Value at Risk (VaR) at 95%,long_only_Return (%),both_Final Capital ($),both_Total Buy Transactions,both_Total Short Transactions,both_Volatility (Annualized),both_Value at Risk (VaR) at 95%,both_Return (%)
gs,all_variables,lstm,1349.925008703881,35.53966116437825,29.66302043042618,-1.7067385284361691,54.81481481481482,101.98534023104364,11,0,0.05969563950138,-0.00043446530326,2.0%,107.38543137595413,11,5,4.255099031412952,-0.0099854428132625,7.4%
gs,all_variables,lstm_xgboost,3017.403439194772,44.05678382203327,39.073455092069416,-1.858441730479035,51.26322751322751,120.38623789036822,80,0,0.1152201330949126,-0.00671444110031,20.4%,100.69565659236294,80,45,11.755126507517614,-2.0,0.7%
gs,all_variables,lstm_attention,2399.6234947799103,46.89574242086384,38.72235804496636,-3.81505884449752,54.81481481481482,97.74222362494169,7,0,0.0584917056238611,0.0,-2.3%,105.11297690150904,7,3,3.300339653918043,-0.0073006732412559,5.1%
gs,all_variables,arimax,25.681256096223404,5.0676677176215295,3.648143109686613,0.9953272178898906,61.953352769679306,311.80469304442335,107,0,0.1313568286024329,-0.0060401217875947,211.8%,195.3821584133145,107,51,11.302247743946424,-2.0,95.4%
gs,price_alone,lstm,312.111701212415,15.83245668593528,13.249208883624592,0.4926048087271105,53.333333333333336,109.60919122244935,23,0,0.1173860961874051,-0.0071329212338584,9.6%,108.7191407030372,23,11,6.240387440659061,-0.0281277329856355,8.7%
gs,price_alone,lstm_xgboost,2926.783816265461,42.26117410690346,37.62508708192823,-1.7084511076287257,27.592592592592588,114.96878216652333,55,0,0.0893735674241449,-0.0038754054720761,15.0%,102.86520763627055,55,38,10.968547208307486,-2.0,2.9%
gs,price_alone,lstm_attention,3698.40237998917,43.54813461506249,39.83569092524496,-2.7815247598905875,51.48148148148148,116.55392791737373,15,0,0.0827664378286086,-0.0056873566372561,16.6%,129.40325005013418,15,9,5.679677389445999,-0.0168068495088362,29.4%
gs,price_alone,arimax,38.66933584774297,6.218467323042147,4.327150049705317,0.9929639975520624,52.62390670553936,112.4272766333655,130,0,0.1238471432001194,-0.0103021633208841,12.4%,120.47012783931822,130,59,11.984765138920258,-2.000257963458038,20.5%
