Date,voo_Predicted,voo_Actual,voo_predict_pct_change,tsla_Predicted,tsla_Actual,tsla_predict_pct_change,avgo_Predicted,avgo_Actual,avgo_predict_pct_change,cof_Predicted,cof_Actual,cof_predict_pct_change,crm_Predicted,crm_Actual,crm_predict_pct_change,gm_Predicted,gm_Actual,gm_predict_pct_change,gs_Predicted,gs_Actual,gs_predict_pct_change,ibm_Predicted,ibm_Actual,ibm_predict_pct_change,ilmn_Predicted,ilmn_Actual,ilmn_predict_pct_change,nke_Predicted,nke_Actual,nke_predict_pct_change,nvda_Predicted,nvda_Actual,nvda_predict_pct_change,orcl_Predicted,orcl_Actual,orcl_predict_pct_change,regn_Predicted,regn_Actual,regn_predict_pct_change
2022-09-19,343.90438233077793,343.1590791667764,-2.1494936458386293,308.2333054736521,306.9100036621094,2.2296343007227604,48.37430139072532,47.18723669699053,-0.1455242067605944,103.99561397627996,96.53615111393898,0.33006520788128046,185.4461173934908,150.33263283473357,-0.2674795195186763,37.39861468043301,39.395232586660434,0.23984959249192528,305.6394309785394,306.21975454433743,0.33828246617284563,115.91375489693804,115.30305551212432,-0.09425055702508844,200.69474661002275,190.9046630859375,0.04503775883237804,106.66261104589056,100.4582762243015,-0.13523723198711757,13.581804248105714,13.202927245434704,4.033941811972674,67.04910209589359,66.09617042324732,-0.8170402568422719,711.8631491134478,711.27001953125,0.2779918832334971
2022-09-20,336.5121794848173,344.12470797392353,-0.2649212124825717,315.1057809787442,308.2900085449219,-2.8171762080223983,48.30390507235049,47.10227705650095,-0.20571062169034704,104.33886731573818,97.53974978953065,0.006510182171082235,184.95008700972065,150.55165341663343,-0.17916004815522468,37.488315105341655,38.347437420851016,0.10509558163998012,306.67335558325027,305.48635527581104,-1.946295163720213,115.80450553727898,115.29397378225129,-1.043838245406814,200.78513502599023,191.186767578125,-0.19737915646439452,106.51836348314691,99.34551911006147,-0.21585886281377809,14.129686328490331,13.200928672095817,-4.798712177031228,66.50128393991886,66.52216231843198,-1.3904653099179543,713.8420708877136,700.9099731445312,-1.957927967827977
2022-09-21,335.6206873387746,335.59834313792084,-0.8782749099394693,306.2286958869078,299.8599853515625,-3.5830731756134937,48.20453880892544,46.2810958348748,-0.2844547200556047,104.34565996607569,95.21713477841894,-0.0950968739232283,184.6187303447709,148.84920312583196,-0.47506707491272726,37.52771366814864,37.02544796286429,-0.0665602829750922,300.70458689511497,303.041908275917,-1.2272070055842077,114.59569381857662,113.35863459956626,-1.3708663736682114,200.38882702017003,190.75875854492188,-0.09076645939316563,106.28843415504434,96.55877123267562,-0.3133122361122842,13.45164335006875,13.058060108598756,0.2575054695929113,65.57660665608425,64.72139131706018,-3.1759569391497267,699.8655573356806,681.3599853515625,-2.551653442908741
2022-09-22,332.67301504931174,330.31641441345647,3.447935776226929,295.256297628553,283.0899963378906,-3.0998537836786078,48.06741872300242,45.56352163515907,-0.35192430976238587,104.24643050537338,89.59701326383282,0.5006025364045597,183.741667542781,147.4155725598903,-0.5849635586386182,37.50273511573704,35.713252741008816,-0.20883480356730377,297.01431913862507,289.15527193372105,-3.560902528491705,113.02473998634598,113.14965586217993,0.6015822141293814,200.20694117686432,187.7821044921875,-0.14856948619841326,105.95541948526444,93.78169562624385,-0.39596302322727484,13.486282067445307,12.40865417246352,-1.9754042113795278,63.49392186653142,63.26915507161152,0.3326441474579278,682.0074137461922,685.7999877929688,1.958278903013544
2022-09-23,344.14336695304974,326.59882378920906,-0.003459550266593503,286.1037841149649,271.8299865722656,-3.3747251400304323,47.8982577914409,44.99079161723977,-0.4456179892058598,104.7682907805945,88.84193199444192,0.09234240288436002,182.6668457456208,146.35031193334854,-0.64221532266171,37.424416352525725,34.37167604498976,-0.42017638476082864,286.43792873843535,281.1166303505202,-3.7548006583020155,113.70467671966982,111.12344598027832,-2.018260794665039,199.9094947530243,184.34825134277344,-0.05613818796429415,105.53587520299745,92.97858185581364,-0.47728269071017904,13.21987348352647,12.479589534905674,-7.593094426243685,63.70513068161195,62.28162588565334,-1.8920082128215276,695.3630210465722,696.219970703125,0.13148961411713067
2022-09-26,344.13146114028086,328.1051917259616,0.06475913877019845,276.4485677858588,283.8399963378906,1.2308240005008075,47.68481453820604,45.045478284320886,-0.5311139986627689,104.86503633776216,88.88014437510668,-0.02189755440475949,181.4937312728196,147.71424284787446,-0.44823948674937997,37.26716779287784,34.81234309593029,-0.5838888437113665,275.6827555045379,279.70637828683465,-2.4231444185925155,111.4098198077361,111.39602463522868,-1.0517224173257622,199.79726918510136,182.42218017578125,-0.3177945902877788,105.03217073816404,93.92685377472912,-0.5417316187368848,12.216076006892354,12.495573952755812,-1.424390079548099,62.49982437712716,62.11704645956407,-2.8915789946821535,696.2773511996595,686.3599853515625,-1.7794839981870147
2022-09-27,344.35431771075264,324.70897898796323,-1.3188737555913765,279.8511631072079,283.0799865722656,1.2691251176352392,47.43155381295725,44.25785542615902,-0.5496906259388479,104.84207345937853,88.00082402729576,-0.03135615134565173,180.68020470328,145.35471873764484,-0.2691107308915641,37.04956895776803,34.02894108007985,-0.7053743683174019,269.00256420150765,276.41569670201363,0.6691533389014959,110.2380977577159,110.5328355380298,0.4959202494123405,199.1623242720884,188.17120361328125,-0.385772513089655,104.4631782594297,93.96555460678049,-0.5673642979436622,12.042071432140125,12.398662834504975,4.928550085766958,60.69259258372492,60.62607649660853,0.2507569037495161,683.8872071520611,700.8900146484375,-1.50993755252129
2022-09-28,339.8127189882198,326.9881470209471,0.7917149111972943,283.40282451019584,282.760009765625,-2.9638022590014246,47.17082700791028,44.2156504813688,-0.5307837244466262,104.80919902015069,89.21469586714991,-0.14220032605096744,180.19397488382663,147.79389923002103,-0.016297221492989067,36.788230794767856,33.30430006888024,-0.7473019621995314,270.80260384159266,279.3021082149067,2.9519613500468056,110.7847908070634,110.71455214343268,0.05387209218203903,198.3940107686162,191.72178649902344,-0.1767065688076941,103.87049148148844,94.93317636341555,-0.5159418165494256,12.635570954036986,12.436626979662456,-11.951170224385855,60.844783449693175,60.3065837303527,-1.7398465555336307,673.5609373943831,704.8300170898438,3.4169201168725127
2022-09-29,342.5030669545945,322.5461649932191,-1.256299823027085,275.0033251952888,266.1499938964844,-3.571253926563145,46.92045193546542,43.079801204949945,-0.6061648731581881,104.66015999741262,89.6448092925786,-0.1030755402723127,180.1646082726228,145.36466138901113,0.03270242666137957,36.51331162418006,32.24671129635767,-0.8829743587209005,278.7965920419168,278.2961233041421,-1.127257078843702,110.84447289169066,110.54193157041988,-1.8312031118049577,198.043435519467,187.8988342285156,-0.2170078648624285,103.33458018088004,80.60272255847407,-0.5459134364894314,11.12547236049697,12.075959021361072,2.503872867314083,59.78617758062179,59.30938364716097,-2.4603346404511117,696.5759765636069,694.4000244140625,-1.4289402526638462
2022-09-30,338.2002015305816,321.7897294606124,-0.41132529171367116,265.18225814607285,254.5,-2.51080416586702,46.63603663750556,43.097076840455394,-0.6691864275976123,104.55228097204542,89.9410982105748,1.4145467181567062,180.22352647151288,144.3392299326312,0.16692710976480285,36.19090844501869,31.786457737794155,-1.0128824260606462,275.6538377225493,279.39610321923175,-0.6078110074742682,108.81468545483422,109.17902022870796,1.3595105763970938,197.613665688546,188.54086303710935,-0.13860068514501833,102.77046282313268,80.43821910204716,-0.8259596855184292,11.404040044291982,12.3357191816414,34.78489110508243,58.31523754340414,59.04797542818751,4.384334117008337,686.6223220441033,705.3900146484375,3.1977765293896177
