ticker,variable_method,model_name,MSE,RMSE,MAE,R2,Directional Accuracy (%),long_only_Final Capital ($),long_only_Total Buy Transactions,long_only_Total Short Transactions,long_only_Volatility (Annualized),long_only_Value at Risk (VaR) at 95%,long_only_Return (%),both_Final Capital ($),both_Total Buy Transactions,both_Total Short Transactions,both_Volatility (Annualized),both_Value at Risk (VaR) at 95%,both_Return (%)
crm,all_variables,lstm,492.6319221059437,21.021702045229937,18.1340172277607,-1.2086143572337935,52.59259259259259,115.1771023096618,24,0,0.1345319725085352,-0.0086665644559619,15.2%,131.56664994651683,24,14,6.997459771668416,-1.21254484452228,31.6%
crm,all_variables,lstm_xgboost,1170.931793938946,29.043206169437667,25.40427739895628,-2.5827120517257427,44.47089947089946,99.83994752800788,103,0,0.1624245614665233,-0.0148405817725951,-0.2%,106.07355473087652,103,49,12.164425244088656,-2.002917767408847,6.1%
crm,all_variables,lstm_attention,747.0537967085834,26.42344872278448,23.122854391573597,-1.6116322571631323,49.25925925925926,114.646081114512,22,0,0.1071222128067296,0.0,14.6%,118.67095174486684,22,20,8.258489787272046,-1.999002311119872,18.7%
crm,all_variables,arimax,24.390286387245464,4.9386522845049,3.423282743533876,0.9903419984719068,53.49854227405248,123.37063622507095,126,0,0.177276213111985,-0.0134640949272748,23.4%,131.3574933703968,126,59,11.990392680587393,-2.003947747613652,31.4%
crm,price_alone,lstm,135.77403076446143,11.476841562579349,9.238343780066996,0.4576625788817773,47.96296296296297,125.3608408297597,22,0,0.1210477524689666,-0.0098043742455985,25.4%,121.4138262246977,22,10,5.96698855580707,-0.0232362497439928,21.4%
crm,price_alone,lstm_xgboost,1058.024523164891,27.402043805164567,23.083875094637165,-2.2323878008758187,32.26851851851852,78.70812025790904,77,0,0.1061098035637585,-0.0108105486395974,-21.3%,77.59061747529802,77,51,12.350057411803927,-2.001278764405323,-22.4%
crm,price_alone,lstm_attention,729.6870630421002,24.54363666909511,22.139027413562943,-1.3667278388587043,51.85185185185185,102.77892749631484,9,0,0.1023657089757911,-0.000976302186377,2.8%,114.04258039623326,9,7,5.031665994775702,-0.0141555003086846,14.0%
crm,price_alone,arimax,24.722821303347096,4.9722048734285975,3.4132971392287472,0.9902103221694288,54.3731778425656,110.57261605178952,126,0,0.1743677468136318,-0.0134640949272748,10.6%,107.57983797179496,126,57,11.82182676499938,-2.001714498429428,7.6%
