time_published,ticker_sentiment_score,ticker_sentiment_label
20220411T081528,0.0206,Neutral
20220411T084046,0.000321,Neutral
20220411T090000,0.012444,Neutral
20220411T090600,0.290878,Somewhat-Bullish
20220411T121400,0.002339,Neutral
20220411T144500,0.166565,Somewhat-Bullish
20220411T153000,0.031761,Neutral
20220411T154400,0.248736,Somewhat-Bullish
20220411T170515,-0.062137,Neutral
20220411T181058,0.051725,Neutral
20220411T213400,-0.142639,Neutral
20220411T214518,0.023183,Neutral
20220412T120800,-0.145641,Neutral
20220412T130000,0.019297,Neutral
20220412T130000,0.479216,Bullish
20220412T134200,0.046927,Neutral
20220412T143000,0.093953,Neutral
20220412T154500,0.123591,Neutral
20220412T175600,0.006147,Neutral
20220412T191014,0.142597,Neutral
20220413T090500,0.267851,Somewhat-Bullish
20220413T103820,0.007677,Neutral
20220413T115300,0.042679,Neutral
20220413T142800,0.433642,Bullish
20220413T150300,0.047279,Neutral
20220413T151900,0.047279,Neutral
20220413T153200,0.00838,Neutral
20220413T153300,0.00838,Neutral
20220413T160926,0.034055,Neutral
20220413T162200,0.042679,Neutral
20220413T194500,-0.221708,Somewhat-Bearish
20220414T112100,0.042892,Neutral
20220414T114300,-0.107349,Neutral
20220414T123000,0.000869,Neutral
20220414T125100,0.007875,Neutral
20220414T152100,0.058407,Neutral
20220414T153100,0.058407,Neutral
20220414T200500,0.020786,Neutral
20220415T004500,0.0005,Neutral
20220416T170838,0.229546,Somewhat-Bullish
20220418T092100,-0.008608,Neutral
20220418T100500,0.001806,Neutral
20220418T122400,0.034437,Neutral
20220418T133053,0.012775,Neutral
20220418T152300,0.090475,Neutral
20220418T152439,0.000775,Neutral
20220418T161900,0.021791,Neutral
20220418T173100,0.051859,Neutral
20220419T113600,0.039352,Neutral
20220419T115500,0.037406,Neutral
20220419T131248,-0.40083,Bearish
20220419T140000,0.011295,Neutral
20220419T144500,0.012065,Neutral
20220419T151200,0.007675,Neutral
20220419T200700,0.03309,Neutral
20220419T201543,-0.070068,Neutral
20220419T203000,0.320785,Somewhat-Bullish
20220419T214523,0.041982,Neutral
20220420T130946,0.000219,Neutral
20220420T140600,0.022349,Neutral
20220420T142300,0.32036,Somewhat-Bullish
20220420T150954,-0.06147,Neutral
20220420T153800,0.041567,Neutral
20220420T185211,0.329574,Somewhat-Bullish
20220421T142721,0.10034,Neutral
20220421T150000,0.013523,Neutral
20220421T150500,0.02099,Neutral
20220421T160300,0.008716,Neutral
20220421T161200,0.050598,Neutral
20220422T113100,0.043145,Neutral
20220422T151900,0.053563,Neutral
20220425T144908,0.00067,Neutral
20220425T153400,0.018625,Neutral
20220425T183500,-0.010131,Neutral
20220425T214521,0.033716,Neutral
20220426T103914,0.000982,Neutral
20220426T125459,0.023748,Neutral
20220426T144500,0.016638,Neutral
20220426T151500,0.030354,Neutral
20220427T140900,0.017894,Neutral
20220427T144100,0.064346,Neutral
20220427T144700,0.04188,Neutral
20220427T152200,0.010855,Neutral
20220427T152300,0.036944,Neutral
20220427T152300,0.013466,Neutral
20220427T162600,0.006902,Neutral
20220427T163700,0.003137,Neutral
20220427T165000,0.011268,Neutral
20220427T180026,0.350049,Bullish
20220427T184139,0.384748,Bullish
20220428T090600,0.063959,Neutral
20220428T112900,0.009795,Neutral
20220428T144500,0.008533,Neutral
20220428T151700,0.00792,Neutral
20220428T152500,0.013459,Neutral
20220428T154800,0.013459,Neutral
20220428T164600,0.069894,Neutral
20220428T165400,0.035136,Neutral
20220428T170400,0.039236,Neutral
20220428T212100,0.043181,Neutral
20220429T121900,-0.044033,Neutral
20220429T130007,-0.007506,Neutral
20220429T144900,0.03667,Neutral
20220429T150500,0.007593,Neutral
20220429T151000,0.010094,Neutral
20220429T151453,0.085875,Neutral
20220429T153148,0.10881,Neutral
20220429T155400,0.060105,Neutral
20220429T170325,-0.04543,Neutral
20220429T182200,0.008084,Neutral
20220430T090600,0.12217,Neutral
20220502T115142,0.000829,Neutral
20220502T131000,0.003087,Neutral
20220502T131949,0.000675,Neutral
20220502T134931,-0.02748,Neutral
20220502T150435,-0.045927,Neutral
20220502T152044,0.243519,Somewhat-Bullish
20220503T070000,0.258403,Somewhat-Bullish
20220503T070000,-0.044344,Neutral
20220503T113000,0.010518,Neutral
20220503T114300,0.359839,Bullish
20220503T120000,0.112091,Neutral
20220503T145700,0.039674,Neutral
20220503T151000,0.300572,Somewhat-Bullish
20220503T153900,0.014992,Neutral
20220503T155100,0.027977,Neutral
20220503T155900,0.007169,Neutral
20220503T160700,0.023568,Neutral
20220503T172000,0.01713,Neutral
20220503T203059,-0.904359,Bearish
20220503T214518,0.029206,Neutral
20220504T040036,-0.953948,Bearish
20220504T111500,0.037739,Neutral
20220504T141700,0.042817,Neutral
20220504T141800,0.041691,Neutral
20220504T142400,0.015098,Neutral
20220504T145400,0.041491,Neutral
20220504T150100,0.031418,Neutral
20220504T151300,0.034938,Neutral
20220504T151900,0.055186,Neutral
20220504T161200,0.009075,Neutral
20220504T170615,0.119318,Neutral
20220504T174605,-0.00686,Neutral
20220504T183900,0.020727,Neutral
20220504T190800,0.016147,Neutral
20220504T214510,-0.193264,Somewhat-Bearish
20220505T070000,0.352981,Bullish
20220505T130714,-0.559281,Bearish
20220505T143000,0.022517,Neutral
20220505T145200,0.008623,Neutral
20220505T170400,0.03005,Neutral
20220505T190200,0.014123,Neutral
20220506T090600,0.16064,Somewhat-Bullish
20220506T110000,-0.1088,Neutral
20220506T122156,-0.118067,Neutral
20220506T135200,0.013771,Neutral
20220506T145700,0.008314,Neutral
20220506T145700,0.009716,Neutral
20220506T154500,0.055496,Neutral
20220506T154700,0.015086,Neutral
20220506T164500,0.524142,Bullish
20220506T192000,0.013267,Neutral
20220506T192500,0.012524,Neutral
20220509T132000,0.003432,Neutral
20220509T155800,0.044397,Neutral
20220509T183700,0.096917,Neutral
20220509T202345,0.066549,Neutral
20220510T093038,0.52305,Bullish
20220510T143500,0.026114,Neutral
20220510T145000,0.005504,Neutral
20220510T150200,0.023938,Neutral
20220510T155900,0.051797,Neutral
20220510T183700,0.011689,Neutral
20220510T185900,0.188728,Somewhat-Bullish
20220510T201349,-0.131374,Neutral
20220510T220509,-0.142561,Neutral
20220511T091500,0.001027,Neutral
20220511T145900,0.03735,Neutral
20220511T155300,0.037757,Neutral
20220511T163500,0.025188,Neutral
20220511T170000,0.012073,Neutral
20220511T202800,0.307662,Somewhat-Bullish
20220511T204953,0.115883,Neutral
20220512T092100,0.11135,Neutral
20220512T101500,0.012791,Neutral
20220512T102005,0.003279,Neutral
20220512T104400,0.092493,Neutral
20220512T125502,-0.142561,Neutral
20220512T162100,0.022216,Neutral
20220512T214509,0.030164,Neutral
20220513T114700,0.258261,Somewhat-Bullish
20220513T120500,-0.080959,Neutral
20220513T163300,0.045342,Neutral
20220513T183200,0.093057,Neutral
20220513T210600,0.159638,Somewhat-Bullish
20220514T144243,-0.000103,Neutral
20220515T120000,-0.099791,Neutral
20220516T060200,0.060265,Neutral
20220516T070000,0.257463,Somewhat-Bullish
20220516T155400,0.029859,Neutral
20220517T142300,0.098691,Neutral
20220517T143600,0.029918,Neutral
20220517T151600,0.010225,Neutral
20220517T172500,0.165095,Somewhat-Bullish
20220517T204000,0.006036,Neutral
20220518T083000,0.023125,Neutral
20220518T111200,0.034206,Neutral
20220518T134400,0.018136,Neutral
20220518T134832,0.058165,Neutral
20220518T192739,-0.00115,Neutral
20220518T210700,0.002783,Neutral
20220519T115007,-0.01103,Neutral
20220519T122100,0.002783,Neutral
20220519T132100,0.271747,Somewhat-Bullish
20220519T140856,-0.078922,Neutral
20220520T110000,0.126104,Neutral
20220520T112500,0.083207,Neutral
20220520T121800,-0.291741,Somewhat-Bearish
20220520T133400,-0.033574,Neutral
20220520T150000,0.026006,Neutral
20220520T214505,0.010054,Neutral
20220522T233800,0.003904,Neutral
20220522T234100,-0.109547,Neutral
20220523T002005,0.001095,Neutral
20220523T002005,0.006803,Neutral
20220523T012500,0.141496,Neutral
20220523T012900,-0.012234,Neutral
20220523T022456,-0.103374,Neutral
20220523T071720,-0.001123,Neutral
20220523T073532,-0.284274,Somewhat-Bearish
20220523T073532,-0.113189,Neutral
20220523T073532,-0.117652,Neutral
20220523T081300,-0.013606,Neutral
20220523T085213,-0.026629,Neutral
20220523T090850,0.000992,Neutral
20220523T091516,0.012719,Neutral
20220523T091959,-0.000723,Neutral
20220523T092230,-0.113189,Neutral
20220523T095700,-0.02686,Neutral
20220523T101343,0.001284,Neutral
20220523T101600,-0.087791,Neutral
20220523T101700,0.044178,Neutral
20220523T112500,0.008346,Neutral
20220523T113849,-0.035132,Neutral
20220523T114300,-0.01531,Neutral
20220523T120000,-0.526733,Bearish
20220523T120330,-0.15712,Somewhat-Bearish
20220523T121054,-0.205467,Somewhat-Bearish
20220523T122100,-0.013606,Neutral
20220523T122857,0.013198,Neutral
20220523T122944,-0.003704,Neutral
20220523T123717,0.003747,Neutral
20220523T131401,0.113051,Neutral
20220523T131447,0.020165,Neutral
20220523T140301,0.0242,Neutral
20220523T140844,0.017919,Neutral
20220523T141920,0.018459,Neutral
20220523T142147,0.015399,Neutral
20220523T142600,0.379721,Bullish
20220523T142811,-0.012503,Neutral
20220523T143800,-0.114329,Neutral
20220523T144100,-0.261763,Somewhat-Bearish
20220523T144100,-0.194363,Somewhat-Bearish
20220523T144400,0.007799,Neutral
20220523T145000,0.461865,Bullish
20220523T150523,-0.061139,Neutral
20220523T160730,-0.113189,Neutral
20220523T161144,0.012288,Neutral
20220523T161451,0.019867,Neutral
20220523T163606,-0.164545,Somewhat-Bearish
20220523T170039,-0.272699,Somewhat-Bearish
20220523T174900,0.003921,Neutral
20220523T183000,0.070876,Neutral
20220523T185630,0.013807,Neutral
20220523T191500,-0.31717,Somewhat-Bearish
20220523T191845,-0.113189,Neutral
20220523T201226,0.021438,Neutral
20220523T204509,-0.403861,Bearish
20220523T205500,-0.384581,Bearish
20220523T211900,0.012914,Neutral
20220523T214800,0.163804,Somewhat-Bullish
20220523T215800,0.014309,Neutral
20220523T220637,0.007334,Neutral
20220524T003736,-0.02966,Neutral
20220524T023524,-0.116832,Neutral
20220524T040139,0.034246,Neutral
20220524T092912,0.006085,Neutral
20220524T092912,0.007402,Neutral
20220524T130000,0.07344,Neutral
20220524T131200,0.02404,Neutral
20220524T140000,0.115892,Neutral
20220524T140358,0.100145,Neutral
20220524T145305,0.01641,Neutral
20220524T162800,0.006875,Neutral
20220524T174800,0.048187,Neutral
20220524T212507,-0.142561,Neutral
20220525T080100,0.040876,Neutral
20220525T090600,-0.048679,Neutral
20220525T204500,0.016805,Neutral
20220526T095351,-0.315433,Somewhat-Bearish
20220526T104434,0.089391,Neutral
20220526T110100,0.018933,Neutral
20220526T111200,-0.049298,Neutral
20220526T111451,-0.072922,Neutral
20220526T112100,0.06866,Neutral
20220526T112734,0.010398,Neutral
20220526T113800,-0.075875,Neutral
20220526T114100,0.064194,Neutral
20220526T114300,0.024948,Neutral
20220526T121000,0.044176,Neutral
20220526T121913,0.053768,Neutral
20220526T122506,-0.017984,Neutral
20220526T122702,0.034615,Neutral
20220526T123600,0.010511,Neutral
20220526T124332,0.188557,Somewhat-Bullish
20220526T124640,0.053855,Neutral
20220526T124645,0.020515,Neutral
20220526T124834,0.030047,Neutral
20220526T125052,-0.038992,Neutral
20220526T125257,0.005962,Neutral
20220526T131700,-0.047575,Neutral
20220526T135603,0.001016,Neutral
20220526T141911,0.001162,Neutral
20220526T142046,0.109918,Neutral
20220526T142452,-0.013891,Neutral
20220526T142939,0.010396,Neutral
20220526T143558,0.011524,Neutral
20220526T143900,0.025095,Neutral
20220526T162721,0.002242,Neutral
20220526T163000,-0.198307,Somewhat-Bearish
20220526T163800,0.02262,Neutral
20220526T170826,0.048772,Neutral
20220526T171500,0.000253,Neutral
20220526T180742,-0.057396,Neutral
20220526T183000,0.075602,Neutral
20220526T185218,0.014724,Neutral
20220526T192500,0.005623,Neutral
20220526T201608,0.022916,Neutral
20220526T214046,0.151491,Somewhat-Bullish
20220526T215531,0.001583,Neutral
20220526T215626,0.001087,Neutral
20220526T220700,-0.055745,Neutral
20220527T000300,-0.091162,Neutral
20220527T020156,0.072638,Neutral
20220527T090400,-0.099744,Neutral
20220527T091511,0.02309,Neutral
20220527T091511,0.006655,Neutral
20220527T095800,0.022869,Neutral
20220527T124223,0.113159,Neutral
20220527T125200,-0.00156,Neutral
20220527T130000,0.159504,Somewhat-Bullish
20220527T130000,0.65974,Bullish
20220527T130000,0.65974,Bullish
20220527T154236,0.000274,Neutral
20220527T154353,0.000633,Neutral
20220527T161500,-0.352223,Bearish
20220527T164120,0.228924,Somewhat-Bullish
20220527T171617,0.120208,Neutral
20220527T181500,0.000375,Neutral
20220529T000400,-0.000124,Neutral
20220529T110008,0.089066,Neutral
20220530T060359,0.020185,Neutral
20220530T090600,-0.014731,Neutral
20220530T093000,0.031069,Neutral
20220530T102009,0.002627,Neutral
20220531T070000,0.245104,Somewhat-Bullish
20220531T070000,0.02803,Neutral
20220531T125500,0.045087,Neutral
20220531T140000,0.026602,Neutral
20220531T161042,0.042821,Neutral
20220531T163343,0.001263,Neutral
20220531T174200,0.078031,Neutral
20220531T195500,0.57038,Bullish
20220601T021641,0.006819,Neutral
20220601T021641,0.006819,Neutral
20220601T021642,0.055551,Neutral
20220601T052241,0.008826,Neutral
20220601T052241,0.078287,Neutral
20220601T052247,0.043813,Neutral
20220601T052248,0.002443,Neutral
20220601T052257,0.010834,Neutral
20220601T102008,0.003279,Neutral
20220601T104240,0.001878,Neutral
20220601T110000,0.070858,Neutral
20220601T121809,0.215596,Somewhat-Bullish
20220601T132447,0.050547,Neutral
20220601T143000,-0.235411,Somewhat-Bearish
20220601T144825,0.001016,Neutral
20220601T161259,0.180311,Somewhat-Bullish
20220601T183000,0.106087,Neutral
20220601T223413,-0.017192,Neutral
20220602T023000,0.014863,Neutral
20220602T032043,0.000274,Neutral
20220602T072718,-0.020747,Neutral
20220602T081059,-0.005355,Neutral
20220602T132130,0.006976,Neutral
20220602T134505,0.099537,Neutral
20220602T143600,0.048531,Neutral
20220602T161026,0.006701,Neutral
20220602T172400,0.167247,Somewhat-Bullish
20220602T200400,-0.124769,Neutral
20220603T023036,0.313612,Somewhat-Bullish
20220603T063034,0.941344,Bullish
20220603T092100,0.02239,Neutral
20220603T150300,0.040482,Neutral
20220603T153500,0.00087,Neutral
20220603T182200,0.138127,Neutral
20220603T193800,-0.002725,Neutral
20220606T141800,0.021319,Neutral
20220606T163204,-0.044173,Neutral
20220607T115000,0.015488,Neutral
20220607T123500,0.013771,Neutral
20220607T161034,0.216303,Somewhat-Bullish
20220607T191600,0.063785,Neutral
20220608T123300,0.009744,Neutral
20220608T191004,0.063019,Neutral
20220608T193903,0.125511,Neutral
20220609T083000,0.059232,Neutral
20220609T132000,0.379843,Bullish
20220609T173459,0.08151,Neutral
20220609T175200,-0.032855,Neutral
20220609T192118,-0.326061,Somewhat-Bearish
20220609T192353,-0.067751,Neutral
20220610T112400,0.173048,Somewhat-Bullish
20220610T120000,0.015686,Neutral
