Date,semiconductor_shipments,industrial_production,global_trade_volume,crude_oil_prices,interest_rate,gdp_growth,m2_money_supply,personal_computing_sales,consumer_sentiment
2022-02-17,103.1531,102.2805,11263.243289,91.78,0.08,2.8,21221.2,99.223,70.5
2022-02-18,103.1531,102.2805,11263.243289,91.26,0.08,2.8,21221.2,99.223,70.5
2022-02-21,103.1531,102.2805,11263.243289,91.26,0.08,2.8,21221.2,99.223,70.5
2022-02-22,103.1531,102.2805,11263.243289,92.11,0.08,2.8,21221.2,99.223,70.5
2022-02-23,103.1531,102.2805,11263.243289,92.14,0.08,2.8,21221.2,99.223,70.5
2022-02-24,103.1531,102.2805,11263.243289,92.77,0.08,2.8,21221.2,99.223,70.5
2022-02-25,103.1531,102.2805,11263.243289,91.68,0.08,2.8,21221.2,99.223,70.5
2022-02-28,103.1531,102.2805,11263.243289,96.13,0.08,2.8,21221.2,99.223,70.5
2022-03-02,103.1531,102.2805,11263.243289,110.74,0.08,2.8,21221.2,99.223,70.5
2022-03-03,103.1531,102.2805,11263.243289,107.69,0.08,2.8,21221.2,99.223,70.5
2022-03-04,103.1531,102.2805,11263.243289,115.77,0.08,2.8,21221.2,99.223,70.5
2022-03-07,103.1531,102.2805,11263.243289,119.26,0.08,2.8,21221.2,99.223,70.5
2022-03-08,103.1531,102.2805,11263.243289,123.64,0.08,2.8,21221.2,99.223,70.5
2022-03-09,103.1531,102.2805,11263.243289,108.81,0.08,2.8,21221.2,99.223,70.5
2022-03-10,103.1531,102.2805,11263.243289,105.93,0.08,2.8,21221.2,99.223,70.5
2022-03-11,103.1531,102.2805,11263.243289,109.31,0.08,2.8,21221.2,99.223,70.5
2022-03-14,103.1531,102.2805,11263.243289,103.22,0.08,2.8,21221.2,99.223,70.5
2022-03-15,103.1531,102.2805,11263.243289,96.42,0.08,2.8,21221.2,99.223,70.5
2022-03-16,103.1531,102.2805,11263.243289,94.85,0.08,2.8,21221.2,99.223,70.5
2022-03-17,103.1531,102.2805,11263.243289,102.97,0.33,2.8,21221.2,99.223,70.5
2022-03-18,103.1531,102.2805,11263.243289,104.69,0.33,2.8,21221.2,99.223,70.5
2022-03-21,103.1531,102.2805,11263.243289,112.14,0.33,2.8,21221.2,99.223,70.5
2022-03-22,103.1531,102.2805,11263.243289,111.03,0.33,2.8,21221.2,99.223,70.5
2022-03-23,103.1531,102.2805,11263.243289,114.89,0.33,2.8,21221.2,99.223,70.5
2022-03-24,103.1531,102.2805,11263.243289,114.2,0.33,2.8,21221.2,99.223,70.5
2022-03-25,103.1531,102.2805,11263.243289,116.2,0.33,2.8,21221.2,99.223,70.5
2022-03-28,103.1531,102.2805,11263.243289,107.55,0.33,2.8,21221.2,99.223,70.5
2022-03-29,103.1531,102.2805,11263.243289,104.25,0.33,2.8,21221.2,99.223,70.5
2022-03-30,103.1531,102.2805,11263.243289,107.81,0.33,2.8,21221.2,99.223,70.5
2022-03-31,103.1531,102.2805,11263.243289,100.53,0.33,2.8,21221.2,99.223,70.5
2022-04-04,103.1531,102.2805,11263.243289,103.29,0.33,2.8,21221.2,99.223,70.5
2022-04-05,103.1531,102.2805,11263.243289,101.98,0.33,2.8,21221.2,99.223,70.5
2022-04-06,103.1531,102.2805,11263.243289,96.39,0.33,2.8,21221.2,99.223,70.5
2022-04-07,103.1531,102.2805,11263.243289,96.05,0.33,2.8,21221.2,99.223,70.5
2022-04-08,103.1531,102.2805,11263.243289,98.35,0.33,2.8,21221.2,99.223,70.5
2022-04-11,103.1531,102.2805,11263.243289,94.22,0.33,2.8,21221.2,99.223,70.5
2022-04-12,103.1531,102.2805,11263.243289,100.52,0.33,2.8,21221.2,99.223,70.5
2022-04-13,103.1531,102.2805,11263.243289,104.26,0.33,2.8,21221.2,99.223,70.5
2022-04-14,103.1531,102.2805,11263.243289,106.84,0.33,2.8,21221.2,99.223,70.5
2022-04-15,103.1531,102.2805,11263.243289,106.84,0.33,2.8,21221.2,99.223,70.5
2022-04-18,103.1531,102.2805,11263.243289,108.24,0.33,2.8,21221.2,99.223,70.5
2022-04-19,103.1531,102.2805,11263.243289,102.54,0.33,2.8,21221.2,99.223,70.5
2022-04-20,103.1531,102.2805,11263.243289,102.56,0.33,2.8,21221.2,99.223,70.5
2022-04-21,103.1531,102.2805,11263.243289,103.89,0.33,2.8,21221.2,99.223,70.5
2022-04-22,103.1531,102.2805,11263.243289,102.86,0.33,2.8,21221.2,99.223,70.5
2022-04-25,103.1531,102.2805,11263.243289,99.6,0.33,2.8,21221.2,99.223,70.5
2022-04-26,103.1531,102.2805,11263.243289,102.62,0.33,2.8,21221.2,99.223,70.5
2022-04-27,103.1531,102.2805,11263.243289,101.96,0.33,2.8,21221.2,99.223,70.5
2022-04-28,103.1531,102.2805,11263.243289,105.47,0.33,2.8,21221.2,99.223,70.5
2022-04-29,103.1531,102.2805,11263.243289,104.59,0.33,2.8,21221.2,99.223,70.5
2022-05-02,103.1531,102.2805,11263.243289,105.18,0.33,2.8,21221.2,99.223,70.5
2022-05-03,103.1531,102.2805,11263.243289,102.53,0.33,2.8,21221.2,99.223,70.5
2022-05-04,103.1531,102.2805,11263.243289,107.84,0.33,2.8,21221.2,99.223,70.5
2022-05-05,103.1531,102.2805,11263.243289,108.17,0.83,2.8,21221.2,99.223,70.5
2022-05-06,103.1531,102.2805,11263.243289,109.72,0.83,2.8,21221.2,99.223,70.5
2022-05-09,103.1531,102.2805,11263.243289,103.08,0.83,2.8,21221.2,99.223,70.5
2022-05-10,103.1531,102.2805,11263.243289,99.74,0.83,2.8,21221.2,99.223,70.5
2022-05-11,103.1531,102.2805,11263.243289,105.5,0.83,2.8,21221.2,99.223,70.5
2022-05-12,103.1531,102.2805,11263.243289,106.15,0.83,2.8,21221.2,99.223,70.5
2022-05-13,103.1531,102.2805,11263.243289,110.52,0.83,2.8,21221.2,99.223,70.5
2022-05-16,103.1531,102.2805,11263.243289,114.07,0.83,2.8,21221.2,99.223,70.5
2022-05-17,103.1531,102.2805,11263.243289,112.31,0.83,2.8,21221.2,99.223,70.5
2022-05-18,103.1531,102.2805,11263.243289,109.67,0.83,2.8,21221.2,99.223,70.5
2022-05-19,103.1531,102.2805,11263.243289,112.21,0.83,2.8,21221.2,99.223,70.5
2022-05-20,103.1531,102.2805,11263.243289,112.63,0.83,2.8,21221.2,99.223,70.5
2022-05-23,103.1531,102.2805,11263.243289,110.32,0.83,2.8,21221.2,99.223,70.5
2022-05-24,103.1531,102.2805,11263.243289,112.55,0.83,2.8,21221.2,99.223,70.5
2022-05-25,103.1531,102.2805,11263.243289,112.88,0.83,2.8,21221.2,99.223,70.5
2022-05-26,103.1531,102.2805,11263.243289,116.19,0.83,2.8,21221.2,99.223,70.5
2022-05-27,103.1531,102.2805,11263.243289,114.96,0.83,2.8,21221.2,99.223,70.5
2022-05-30,103.1531,102.2805,11263.243289,114.96,0.83,2.8,21221.2,99.223,70.5
2022-05-31,103.1531,102.2805,11263.243289,114.38,0.83,2.8,21221.2,99.223,70.5
2022-06-02,103.1531,102.2805,11263.243289,116.88,0.83,2.8,21221.2,99.223,70.5
2022-06-03,103.1531,102.2805,11263.243289,118.97,0.83,2.8,21221.2,99.223,70.5
2022-06-06,103.1531,102.2805,11263.243289,118.41,0.83,2.8,21221.2,99.223,70.5
2022-06-07,103.1531,102.2805,11263.243289,119.55,0.83,2.8,21221.2,99.223,70.5
2022-06-08,103.1531,102.2805,11263.243289,121.94,0.83,2.8,21221.2,99.223,70.5
2022-06-09,103.1531,102.2805,11263.243289,121.52,0.83,2.8,21221.2,99.223,70.5
2022-06-10,103.1531,102.2805,11263.243289,120.73,0.83,2.8,21221.2,99.223,70.5
2022-06-13,103.1531,102.2805,11263.243289,120.92,0.83,2.8,21221.2,99.223,70.5
2022-06-14,103.1531,102.2805,11263.243289,118.92,0.83,2.8,21221.2,99.223,70.5
2022-06-15,103.1531,102.2805,11263.243289,115.32,0.83,2.8,21221.2,99.223,70.5
2022-06-16,103.1531,102.2805,11263.243289,117.56,1.58,2.8,21221.2,99.223,70.5
2022-06-17,103.1531,102.2805,11263.243289,109.56,1.58,2.8,21221.2,99.223,70.5
