level_0,index,Date,Adj_Closed_price,Log_Return,Next_day_Adj_Open_price,ma_10,ma_30,ema_10,volatility_10,rsi_14,interest_rate_mom,unemployment_rate_mom,gdp_growth_mom,business_investment_mom,software_spending_mom,corporate_earnings_mom,consumer_sentiment_mom,m2_money_supply_mom,industrial_production_mom,daily_sentiment_score
10,10,2022-03-15,195.2731170654297,0.015516934549049937,197.78198960430538,198.81041107177734,0.0,198.48998305857268,0.02668932295631385,0.0,0.0,-0.20000000000000018,0.0,-6.4093186150640635,1.0473819910963522,0.0,-6.547619047619058,0.2545661941658395,0.6236254453408918,-12.5
11,11,2022-03-16,204.6614532470703,0.04695798744689652,203.7156382581718,198.3305435180664,0.0,199.61206854739044,0.031460129281195924,0.0,0.0,-0.20000000000000018,0.0,-6.4093186150640635,1.0473819910963522,0.0,-6.547619047619058,0.2545661941658395,0.6236254453408918,20.83333333333333
12,12,2022-03-17,209.4800567626953,0.023271373960358513,208.30526633014804,198.89404296875,0.0,201.4062482229004,0.03107372833160674,0.0,0.0,-0.20000000000000018,0.0,-6.4093186150640635,1.0473819910963522,0.0,-6.547619047619058,0.2545661941658395,0.6236254453408918,0.0
13,13,2022-03-18,217.83297729492188,0.039100069560755436,217.22565068354442,200.4660675048828,0.0,204.3929262359952,0.03276087781467185,57.43883944564975,0.0,-0.20000000000000018,0.0,-6.4093186150640635,1.0473819910963522,0.0,-6.547619047619058,0.2545661941658395,0.6236254453408918,16.666666666666664
14,14,2022-03-21,212.77540588378906,-0.02349143300758484,212.7754141203929,202.20733642578125,0.0,205.91701344468495,0.03142822950451298,53.36866976774415,0.0,-0.20000000000000018,0.0,-6.4093186150640635,1.0473819910963522,0.0,-6.547619047619058,0.2545661941658395,0.6236254453408918,16.666666666666664
15,15,2022-03-22,217.24557495117188,0.02079121854000825,212.92473685714762,204.80878753662108,0.0,207.97675190040985,0.029752930853799448,55.23567392446047,0.0,-0.20000000000000018,0.0,-6.4093186150640635,1.0473819910963522,0.0,-6.547619047619058,0.2545661941658395,0.6236254453408918,0.0
16,16,2022-03-23,210.17694091796875,-0.0330786437243546,211.4114705167075,205.60027160644532,0.0,208.37678626723874,0.028665889942994835,54.17650490291396,0.0,-0.20000000000000018,0.0,-6.4093186150640635,1.0473819910963522,0.0,-6.547619047619058,0.2545661941658395,0.6236254453408918,0.0
17,17,2022-03-24,213.0342559814453,0.013503227232650362,213.32299087431753,206.97715759277344,0.0,209.22359894254902,0.02800008147149457,57.09848621139089,0.0,-0.20000000000000018,0.0,-6.4093186150640635,1.0473819910963522,0.0,-6.547619047619058,0.2545661941658395,0.6236254453408918,7.142857142857142
18,18,2022-03-25,210.09730529785156,-0.013882197021008087,209.4501844270141,208.28435516357422,0.0,209.38245464351309,0.02819518933047639,60.07624440281687,0.0,-0.20000000000000018,0.0,-6.4093186150640635,1.0473819910963522,0.0,-6.547619047619058,0.2545661941658395,0.6236254453408918,12.5
19,19,2022-03-28,214.32852172851562,0.019939204189173092,217.6537531926599,210.49056091308594,0.0,210.28173956805898,0.026219468527049667,65.77371071486704,0.0,-0.20000000000000018,0.0,-6.4093186150640635,1.0473819910963522,0.0,-6.547619047619058,0.2545661941658395,0.6236254453408918,0.0
