level_0,index,Date,Adj_Closed_price,Log_Return,Next_day_Adj_Open_price,ma_10,ma_30,ema_10,volatility_10,rsi_14,corporate_bond_spread_mom,interest_rate_mom,gdp_growth_mom,unemployment_rate_mom,stock_market_volatility_mom,cpi_mom,industrial_production_mom,m2_money_supply_mom,commercial_loans_mom,sp500_mom,daily_sentiment_score
0,0,2022-03-01,305.90185546875,0.0,309.07082040419255,0.0,0.0,305.90185546875,0.0,0.0,0.4099999999999999,0.0,0.0,-0.20000000000000018,5.32,0.7595878041007254,0.6236254453408918,0.2545661941658395,0.3763421840766945,-3.136052086678265,-60.0
1,1,2022-03-02,313.52606201171875,0.024618172287391462,315.84688681333057,0.0,0.0,307.2880748401989,0.0,0.0,0.4099999999999999,0.0,0.0,-0.20000000000000018,5.32,0.7595878041007254,0.6236254453408918,0.2545661941658395,0.3763421840766945,-3.136052086678265,-30.0
2,2,2022-03-03,310.7671813964844,-0.008838470075791688,304.783362047028,0.0,0.0,307.9206396686144,0.0,0.0,0.4099999999999999,0.0,0.0,-0.20000000000000018,5.32,0.7595878041007254,0.6236254453408918,0.2545661941658395,0.3763421840766945,-3.136052086678265,-25.0
3,3,2022-03-04,307.27197265625,-0.011310759132414454,304.61558318776554,0.0,0.0,307.8027002118209,0.0,0.0,0.4099999999999999,0.0,0.0,-0.20000000000000018,5.32,0.7595878041007254,0.6236254453408918,0.2545661941658395,0.3763421840766945,-3.136052086678265,-9.09090909090909
4,4,2022-03-07,300.0205383300781,-0.023882326410130144,300.58902834316433,0.0,0.0,306.3877616878676,0.0,0.0,0.4099999999999999,0.0,0.0,-0.20000000000000018,5.32,0.7595878041007254,0.6236254453408918,0.2545661941658395,0.3763421840766945,-3.136052086678265,-5.555555555555555
5,5,2022-03-08,299.5357971191406,-0.00161700006453914,309.1453921564956,0.0,0.0,305.14194994809907,0.0,0.0,0.4099999999999999,0.0,0.0,-0.20000000000000018,5.32,0.7595878041007254,0.6236254453408918,0.2545661941658395,0.3763421840766945,-3.136052086678265,-14.634146341463413
6,6,2022-03-09,310.9256286621094,0.03731981409836476,305.3704730324416,0.0,0.0,306.19352789610093,0.0,0.0,0.4099999999999999,0.0,0.0,-0.20000000000000018,5.32,0.7595878041007254,0.6236254453408918,0.2545661941658395,0.3763421840766945,-3.136052086678265,-5.319148936170214
7,7,2022-03-10,307.4862365722656,-0.01112342031666273,311.65256499447815,0.0,0.0,306.42856583722175,0.0,0.0,0.4099999999999999,0.0,0.0,-0.20000000000000018,5.32,0.7595878041007254,0.6236254453408918,0.2545661941658395,0.3763421840766945,-3.136052086678265,-19.512195121951223
8,8,2022-03-11,304.7832946777344,-0.008829312307512266,306.8431963971859,0.0,0.0,306.12942562640586,0.0,0.0,0.4099999999999999,0.0,0.0,-0.20000000000000018,5.32,0.7595878041007254,0.6236254453408918,0.2545661941658395,0.3763421840766945,-3.136052086678265,-33.55263157894737
9,9,2022-03-14,302.9006042480469,-0.006196301915204511,304.8486304102333,306.3119171142578,0.0,305.54236719397693,0.0,0.0,0.4099999999999999,0.0,0.0,-0.20000000000000018,5.32,0.7595878041007254,0.6236254453408918,0.2545661941658395,0.3763421840766945,-3.136052086678265,-34.61538461538462
10,10,2022-03-15,306.796630859375,0.012780374971713538,312.3050110528173,306.4013946533203,0.0,305.7704151331402,0.01879840787381665,0.0,0.4099999999999999,0.0,0.0,-0.20000000000000018,5.32,0.7595878041007254,0.6236254453408918,0.2545661941658395,0.3763421840766945,-3.136052086678265,-7.142857142857141
11,11,2022-03-16,317.6084289550781,0.03463418067264903,314.4487636738424,306.80963134765625,0.0,307.92278128258346,0.020434204373423748,0.0,0.4099999999999999,0.0,0.0,-0.20000000000000018,5.32,0.7595878041007254,0.6236254453408918,0.2545661941658395,0.3763421840766945,-3.136052086678265,-1.5625
12,12,2022-03-17,319.9479064941406,0.007338921783956301,315.8468374230497,307.7277038574219,0.0,310.10916768468473,0.02018174126383786,0.0,0.4099999999999999,0.0,0.0,-0.20000000000000018,5.32,0.7595878041007254,0.6236254453408918,0.2545661941658395,0.3763421840766945,-3.136052086678265,-12.962962962962965
13,13,2022-03-18,321.91455078125,0.006127949747057001,321.802747407516,309.19196166992185,0.0,312.2556009749693,0.019560132501777364,63.33429563841997,0.4099999999999999,0.0,0.0,-0.20000000000000018,5.32,0.7595878041007254,0.6236254453408918,0.2545661941658395,0.3763421840766945,-3.136052086678265,-13.414634146341465
14,14,2022-03-21,315.9680480957031,-0.018645045229536545,318.9506313379725,310.7867126464844,0.0,312.93059136055723,0.018765086470125213,57.62708493941554,0.4099999999999999,0.0,0.0,-0.20000000000000018,5.32,0.7595878041007254,0.6236254453408918,0.2545661941658395,0.3763421840766945,-3.136052086678265,-12.820512820512821
15,15,2022-03-22,319.7055969238281,0.011759467858748353,316.9001337423076,312.80369262695314,0.0,314.16241055387917,0.018703474873621916,54.97522106933924,0.4099999999999999,0.0,0.0,-0.20000000000000018,5.32,0.7595878041007254,0.6236254453408918,0.2545661941658395,0.3763421840766945,-3.136052086678265,-16.30434782608696
16,16,2022-03-23,312.8083801269531,-0.021809763712658744,313.58201598180574,312.9919677734375,0.0,313.916223203529,0.01716683294131601,51.54072606652538,0.4099999999999999,0.0,0.0,-0.20000000000000018,5.32,0.7595878041007254,0.6236254453408918,0.2545661941658395,0.3763421840766945,-3.136052086678265,-4.166666666666668
17,17,2022-03-24,313.38629150390625,0.0018457887529563016,314.5046866412283,313.58197326660155,0.0,313.8198719854157,0.016664995384724175,54.82779326903152,0.4099999999999999,0.0,0.0,-0.20000000000000018,5.32,0.7595878041007254,0.6236254453408918,0.2545661941658395,0.3763421840766945,-3.136052086678265,-21.428571428571427
