level_0,index,Date,Adj_Closed_price,Log_Return,Next_day_Adj_Open_price,ma_10,ma_30,ema_10,volatility_10,rsi_14,interest_rate_mom,unemployment_rate_mom,gdp_growth_mom,vix_mom,cpi_mom,industrial_production_mom,personal_consumption_mom,housing_starts_mom,retail_sales_mom,sp500_mom
14,14,2022-03-21,392.8753967285156,4.878265904831983e-05,394.1117930064606,378.9415283203125,0.0,383.02480470722185,0.014309991842752987,59.912922088275465,0.0,-0.20000000000000018,0.0,5.32,0.7595878041007254,0.6236254453408918,0.6951544853036173,1.7523364485981352,1.0074002304226282,-3.136052086678265
15,15,2022-03-22,397.4375915527344,0.011545414459439204,395.03189879003565,382.00567626953125,0.0,385.6453114064059,0.013534492823472426,58.50120114894068,0.0,-0.20000000000000018,0.0,5.32,0.7595878041007254,0.6236254453408918,0.6951544853036173,1.7523364485981352,1.0074002304226282,-3.136052086678265
16,16,2022-03-23,392.3194885253906,-0.012961389796129293,394.1793245571631,383.5804016113281,0.0,386.8587981553122,0.01333600061156255,55.88749854850521,0.0,-0.20000000000000018,0.0,5.32,0.7595878041007254,0.6236254453408918,0.6951544853036173,1.7523364485981352,1.0074002304226282,-3.136052086678265
17,17,2022-03-24,398.1510009765625,0.01475480318023405,398.89149228830064,385.9060028076172,0.0,388.911925940994,0.013350057752469974,61.71315612451664,0.0,-0.20000000000000018,0.0,5.32,0.7595878041007254,0.6236254453408918,0.6951544853036173,1.7523364485981352,1.0074002304226282,-3.136052086678265
18,18,2022-03-25,400.1705017089844,0.00505937779062917,399.5742891710849,388.9118194580078,0.0,390.9589397169923,0.01162983890806164,73.62712232013617,0.0,-0.20000000000000018,0.0,5.32,0.7595878041007254,0.6236254453408918,0.6951544853036173,1.7523364485981352,1.0074002304226282,-3.136052086678265
19,19,2022-03-28,402.9305114746094,0.006873408416644402,406.7483354734263,392.463916015625,0.0,393.13558912746805,0.01037532741363841,77.9263079740259,0.0,-0.20000000000000018,0.0,5.32,0.7595878041007254,0.6236254453408918,0.6951544853036173,1.7523364485981352,1.0074002304226282,-3.136052086678265
20,20,2022-03-29,408.0273742675781,0.012570146970015027,407.0368614203986,395.7196502685547,0.0,395.84318642566984,0.009522388569965455,76.20531183324961,0.0,-0.20000000000000018,0.0,5.32,0.7595878041007254,0.6236254453408918,0.6951544853036173,1.7523364485981352,1.0074002304226282,-3.136052086678265
21,21,2022-03-30,405.4885559082031,-0.006241614963934478,404.8346999009563,397.8819061279297,0.0,397.59688996794864,0.009172207103390282,75.12682594267267,0.0,-0.20000000000000018,0.0,5.32,0.7595878041007254,0.6236254453408918,0.6951544853036173,1.7523364485981352,1.0074002304226282,-3.136052086678265
22,22,2022-03-31,399.25701904296875,-0.015487283471045069,400.70904145638417,398.9513671875,0.0,397.8987316179523,0.010932732984180722,73.38039706473515,0.25,-0.19999999999999973,0.0,-9.59,1.0606779482313256,0.8124046352426806,1.3731245732693242,-3.6739380022962065,2.097546278219653,3.577323877328009
23,23,2022-04-01,400.36285400390625,0.0027659034078628825,400.48789288450365,399.7020294189453,0.0,398.3467538699439,0.010543503409907912,77.13089595619716,0.25,-0.19999999999999973,0.0,-9.59,1.0606779482313256,0.8124046352426806,1.3731245732693242,-3.6739380022962065,2.097546278219653,3.577323877328009
24,24,2022-04-04,403.757568359375,0.008443348604275753,402.5170211307459,400.7902465820313,0.0,399.3305383225677,0.010713192015702758,75.22769334610695,0.25,-0.19999999999999973,0.0,-9.59,1.0606779482313256,0.8124046352426806,1.3731245732693242,-3.6739380022962065,2.097546278219653,3.577323877328009
25,25,2022-04-05,398.7665100097656,-0.012438561868595984,395.0159664017252,400.9231384277344,0.0,399.22798772024,0.011194785754022383,64.14796922484915,0.25,-0.19999999999999973,0.0,-9.59,1.0606779482313256,0.8124046352426806,1.3731245732693242,-3.6739380022962065,2.097546278219653,3.577323877328009
26,26,2022-04-06,394.7274475097656,-0.0101805372223023,393.9004506392526,401.1639343261719,0.0,398.4097076819719,0.010857280594707686,55.92767170107182,0.25,-0.19999999999999973,0.0,-9.59,1.0606779482313256,0.8124046352426806,1.3731245732693242,-3.6739380022962065,2.097546278219653,3.577323877328009
27,27,2022-04-07,396.7181396484375,0.005030532405641367,396.064211493372,401.02064819335936,0.0,398.1021498576929,0.009837407727441821,53.885292277311144,0.25,-0.19999999999999973,0.0,-9.59,1.0606779482313256,0.8124046352426806,1.3731245732693242,-3.6739380022962065,2.097546278219653,3.577323877328009
