level_0,index,Date,Adj_Closed_price,Log_Return,Next_day_Adj_Open_price,ma_10,ma_30,ema_10,volatility_10,rsi_14,interest_rate_mom,gdp_growth_mom,semiconductor_shipments_mom,industrial_production_mom,global_trade_volume_mom,crude_oil_prices_mom,m2_money_supply_mom,personal_computing_sales_mom,consumer_sentiment_mom,daily_sentiment_score
0,0,2022-03-01,53.4314079284668,0.0,53.84377351078836,0.0,0.0,53.4314079284668,0.0,0.0,,,,,,,,,,
1,1,2022-03-02,54.89905548095703,0.027097407493084393,55.63944517462618,0.0,0.0,53.69825293801047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.81740690892776,0.0,0.0,0.0,
2,2,2022-03-03,54.22615432739258,-0.012332799792675512,55.55603175925499,0.0,0.0,53.79423500880721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.81740690892776,0.0,0.0,0.0,25.0
3,3,2022-03-04,55.855934143066406,0.02961242709281431,55.958090497113595,0.0,0.0,54.16908939685434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.81740690892776,0.0,0.0,0.0,-10.0
4,4,2022-03-07,53.48576736450195,-0.043360183373980093,53.62352880528598,0.0,0.0,54.04484902733572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.81740690892776,0.0,0.0,0.0,-12.5
5,5,2022-03-08,53.97779083251953,0.009157093146334162,55.18115848282921,0.0,0.0,54.03265662827823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.81740690892776,0.0,0.0,0.0,0.0
6,6,2022-03-09,55.95246887207031,0.03592987909839135,54.878439386875925,0.0,0.0,54.38171339987679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.81740690892776,0.0,0.0,0.0,15.0
7,7,2022-03-10,55.081809997558594,-0.01568302561534458,55.481989950427845,0.0,0.0,54.50900369036439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.81740690892776,0.0,0.0,0.0,24.999999999999996
8,8,2022-03-11,54.15585708618164,-0.016953402868113334,54.07244565662442,0.0,0.0,54.444795216876614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.81740690892776,0.0,0.0,0.0,0.0
9,9,2022-03-14,53.21397399902344,-0.01754510069009022,54.10150275577728,54.42802200317383,0.0,54.22100954090331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.81740690892776,0.0,0.0,0.0,-16.666666666666664
10,10,2022-03-15,55.553218841552734,0.04302042833866721,55.91778776944254,54.64020309448242,0.0,54.46322941374866,0.028979852692736115,0.0,0.0,0.0,0.0,0.0,0.0,7.81740690892776,0.0,0.0,0.0,-12.5
11,11,2022-03-16,56.89903259277344,0.023936879753938545,56.67410623093337,54.84020080566406,0.0,54.90610271902588,0.0287147048970679,0.0,0.0,0.0,0.0,0.0,0.0,7.81740690892776,0.0,0.0,0.0,20.83333333333333
12,12,2022-03-17,56.48197937011719,-0.00735670102746267,56.60381947673267,55.06578330993652,0.0,55.19262574649703,0.028450237827476285,0.0,0.0,0.0,0.0,0.0,0.0,7.81740690892776,0.0,0.0,0.0,0.0
13,13,2022-03-18,57.207374572753906,0.012761178096778581,57.14037767742284,55.200927352905275,0.0,55.55894371490737,0.027243073110341774,61.67353074162908,0.0,0.0,0.0,0.0,0.0,7.81740690892776,0.0,0.0,0.0,16.666666666666664
14,14,2022-03-21,56.73371505737305,-0.008314160333235723,56.774291476235994,55.525722122192384,0.0,55.77253850444659,0.022554362254067678,59.9187098435931,0.0,0.0,0.0,0.0,0.0,7.81740690892776,0.0,0.0,0.0,16.666666666666664
15,15,2022-03-22,57.681968688964844,0.016575967778263867,57.36682253875878,55.89613990783691,0.0,56.11970762890445,0.022794313640372495,58.62786969234939,0.0,0.0,0.0,0.0,0.0,7.81740690892776,0.0,0.0,0.0,0.0
16,16,2022-03-23,56.553497314453125,-0.019757578326712287,57.237563238035634,55.9562427520752,0.0,56.19857848082239,0.021614655397764658,57.017240978730165,0.0,0.0,0.0,0.0,0.0,7.81740690892776,0.0,0.0,0.0,0.0
17,17,2022-03-24,59.10576248168945,0.044141378288240135,59.16708619516768,56.358638000488284,0.0,56.72715739007094,0.02454363328999602,59.28229599384786,0.0,0.0,0.0,0.0,0.0,7.81740690892776,0.0,0.0,0.0,7.142857142857142
18,18,2022-03-25,59.33597946166992,0.003887434718973695,59.053865935900234,56.87665023803711,0.0,57.20148867581621,0.023122564216594886,69.03675578303036,0.0,0.0,0.0,0.0,0.0,7.81740690892776,0.0,0.0,0.0,12.5
19,19,2022-03-28,59.71433639526367,0.0063562738954709205,60.386135095236895,57.52668647766113,0.0,57.65837007935211,0.02121489012126853,68.8059987069165,0.0,0.0,0.0,0.0,0.0,7.81740690892776,0.0,0.0,0.0,0.0
20,20,2022-03-29,60.524837493896484,0.013481685685105878,60.2795171469676,58.023848342895505,0.0,58.17954597290563,0.018181991860409905,66.22819903423033,0.0,0.0,0.0,0.0,0.0,7.81740690892776,0.0,0.0,0.0,21.428571428571427
21,21,2022-03-30,59.545448303222656,-0.016313959873199422,59.487891317491936,58.28848991394043,0.0,58.427891851145084,0.018845631373742268,65.72095887804863,0.0,0.0,0.0,0.0,0.0,7.81740690892776,0.0,0.0,0.0,0.0
22,22,2022-03-31,59.41240692138672,-0.0022367827169392763,59.60205119280196,58.581532669067386,0.0,58.60689459118901,0.018553614008025365,69.60880381391593,0.25,0.0,0.0,0.0,0.0,4.577135129512122,0.0,0.0,0.0,6.25
23,23,2022-04-01,59.157649993896484,-0.004297161123772802,59.10481058447671,58.77656021118164,0.0,58.707031937135824,0.018550877880653842,73.3700851319006,,,,,,,,,,0.0
24,24,2022-04-04,59.900211334228516,0.012474119067728827,59.400142099106496,59.09320983886719,0.0,58.923973645698126,0.018260769285914923,69.54629409819374,0.25,0.0,0.0,0.0,0.0,4.577135129512122,0.0,0.0,0.0,8.333333333333332
25,25,2022-04-05,57.94426727294922,-0.03319839374228123,56.80825649050987,59.119439697265626,0.0,58.74584521428923,0.021399340627519876,54.45544168064538,0.25,0.0,0.0,0.0,0.0,4.577135129512122,0.0,0.0,0.0,0.0
26,26,2022-04-06,56.80070877075195,-0.019932835482675482,56.59596385226299,59.14416084289551,0.0,58.39218404273699,0.02141779633873934,51.279383027246894,0.25,0.0,0.0,0.0,0.0,4.577135129512122,0.0,0.0,0.0,0.0
27,27,2022-04-07,56.8997802734375,0.0017426754905109458,56.36479237949371,58.923562622070314,0.0,58.12083790286435,0.015056542406529832,48.69994479513578,0.25,0.0,0.0,0.0,0.0,4.577135129512122,0.0,0.0,0.0,0.0
28,28,2022-04-08,55.385406494140625,-0.026975341129538102,54.968364519187354,58.52850532531738,0.0,57.623486737641855,0.01640736919253887,44.762126062502205,0.25,0.0,0.0,0.0,0.0,4.577135129512122,0.0,0.0,0.0,20.0
29,29,2022-04-11,54.78248977661133,-0.010945525098912025,55.58449112110527,58.03532066345215,56.663343048095705,57.106941835636306,0.015754594146176745,38.42562658654805,0.25,0.0,0.0,0.0,0.0,4.577135129512122,0.0,0.0,0.0,12.5
30,30,2022-04-12,55.203304290771484,0.007652198561932457,55.5269401792695,57.50316734313965,56.72240626017253,56.76082591838815,0.014932310245426373,44.28744491934523,0.25,0.0,0.0,0.0,0.0,4.577135129512122,0.0,0.0,0.0,12.5
31,31,2022-04-13,55.90813064575195,0.012687007587258763,56.13928864418274,57.139435577392575,56.756042098999025,56.60579041427248,0.016163305180242327,33.96426163750324,0.25,0.0,0.0,0.0,0.0,4.577135129512122,0.0,0.0,0.0,9.090909090909092
32,32,2022-04-14,54.144657135009766,-0.03205051870666295,54.050301853862884,56.612660598754886,56.7533255259196,56.15831163622471,0.017977721986004336,27.43606902250832,0.25,0.0,0.0,0.0,0.0,4.577135129512122,0.0,0.0,0.0,0.0
33,33,2022-04-18,55.338226318359375,0.021804622507037824,54.66454397112813,56.23071823120117,56.73606859842936,56.00920521479465,0.020500161710545427,32.238080152999146,0.25,0.0,0.0,0.0,0.0,4.577135129512122,0.0,0.0,0.0,0.0
34,34,2022-04-19,56.38743591308594,0.018782442969984603,57.00827809160612,55.87944068908691,56.83279088338216,56.07797443266578,0.02123862496370218,33.52618188722232,0.25,0.0,0.0,0.0,0.0,4.577135129512122,0.0,0.0,0.0,-5.0
