level_0,index,Date,Adj_Closed_price,Log_Return,Next_day_Adj_Open_price,ma_10,ma_30,ema_10,volatility_10,rsi_14,interest_rate_mom,unemployment_rate_mom,gdp_growth_mom,pharmaceutical_prices_mom,consumer_sentiment_mom,m2_money_supply_mom,daily_sentiment_score
35,35,2022-04-20,719.6199951171875,0.004735946693196738,719.0,723.1109985351562,692.7053304036458,718.346077769026,0.017347396734015662,60.64061103762527,0.25,0.0,0.0,0.0,0.0,0.0,0.0
36,36,2022-04-21,706.1099853515625,-0.018952276146631974,701.530029296875,722.8859985351562,695.4613301595052,716.1213336931236,0.017138030151215723,52.83826445353841,0.25,0.0,0.0,0.0,0.0,0.0,0.0
37,37,2022-04-22,688.0800170898438,-0.02586587689648628,684.7000122070312,719.5140014648438,697.385331217448,711.0229124925272,0.017420591286571675,47.74865153607629,0.25,0.0,0.0,0.0,0.0,0.0,
38,38,2022-04-25,690.3300170898438,0.003264633806416711,683.010009765625,714.6630004882812,698.9769978841146,707.2605678738574,0.014776862613031147,47.280944552482026,0.25,0.0,0.0,0.0,0.0,0.0,-12.5
39,39,2022-04-26,674.8200073242188,-0.0227237693890676,680.1099853515625,709.9080017089843,699.5906656901042,701.3622841375595,0.014798254980896982,44.702532169155134,0.25,0.0,0.0,0.0,0.0,0.0,0.0
40,40,2022-04-27,673.510009765625,-0.001943141447835951,673.510009765625,705.6800048828125,699.8433329264323,696.2982342517532,0.01484698094452714,37.691626506907134,0.25,0.0,0.0,0.0,0.0,0.0,0.0
41,41,2022-04-28,675.5800170898438,0.003068748426699179,673.9500122070312,700.0490051269531,699.7633341471354,692.5312856768605,0.011682315254824611,32.25042190136884,0.25,0.0,0.0,0.0,0.0,0.0,-16.666666666666664
42,42,2022-04-29,659.1099853515625,-0.024681188552910533,656.969970703125,692.6580017089843,698.8926676432292,686.4546856177153,0.012231148667053523,19.247116454419583,0.25,0.0,0.0,0.0,0.0,0.0,0.0
43,43,2022-05-02,652.02001953125,-0.010815151665725976,658.0999755859375,685.5400024414063,697.7620015462239,680.1938372383579,0.01219087300907083,20.74848059413921,0.0,0.0,0.0,0.0,0.0,0.0,8.333333333333332
44,44,2022-05-03,660.489990234375,0.012906702759122897,661.2999877929688,679.9670043945313,696.6716674804687,676.6113196012701,0.014249392223460732,27.362062581234824,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,45,2022-05-04,660.8599853515625,0.0005600259336190981,659.989990234375,674.0910034179688,695.6123331705729,673.7474406467778,0.013888015664710377,16.62437436260413,0.0,0.0,0.0,0.0,0.0,0.0,-18.181818181818183
46,46,2022-05-05,639.3699951171875,-0.033058686048993945,639.0399780273438,667.4170043945312,694.617333984375,667.4969960050341,0.01566794759494617,13.063023591718832,0.0,0.0,0.0,0.0,0.0,0.0,
47,47,2022-05-06,623.0499877929688,-0.025856556105050804,612.6699829101562,660.9140014648438,692.7269999186198,659.4157217846586,0.01566689440202582,12.425898650604353,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,48,2022-05-09,599.77001953125,-0.038080471840123094,609.27001953125,651.8580017089844,690.0516662597656,648.5710486476751,0.017180906413271864,11.071741328695481,0.0,0.0,0.0,0.0,0.0,0.0,0.0
