level_0,index,Date,Adj_Closed_price,Log_Return,Next_day_Adj_Open_price,ma_10,ma_30,ema_10,volatility_10,rsi_14,interest_rate_mom,gdp_growth_mom,unemployment_rate_mom,pharmaceutical_prices_mom,consumer_sentiment_mom,m2_money_supply_mom,daily_sentiment_score
43,43,2022-05-02,292.6556396484375,0.014058804550144853,292.85992431640625,307.7373565673828,330.2600514729818,304.6906048767883,0.025607032636833376,20.853083662339273,0.0,1.3,0.10000000000000009,-1.008733993817168,9.764309764309775,0.0018413832471031455,0.0
44,44,2022-05-03,292.5097351074219,-0.0004986779817590461,292.5291748046875,303.69358215332034,328.7587544759115,302.47590128235805,0.02375257466476608,22.558465142170732,0.0,1.3,0.10000000000000009,-1.008733993817168,9.764309764309775,0.0018413832471031455,0.0
45,45,2022-05-04,299.29962158203125,0.02294720197789026,297.2568054199219,300.1439727783203,327.38002624511716,301.8983958822986,0.025807377219632503,29.19147101368644,0.0,1.3,0.10000000000000009,-1.008733993817168,9.764309764309775,0.0018413832471031455,0.0
46,46,2022-05-05,283.7743225097656,-0.05326586729637358,275.2918395996094,295.8570068359375,325.8213358561198,298.6031098145653,0.028868493364586176,26.38963110272111,0.0,1.3,0.10000000000000009,-1.008733993817168,9.764309764309775,0.0018413832471031455,0.0
47,47,2022-05-06,242.26654052734375,-0.15814075602748384,231.43968200683594,288.6955291748047,322.7733459472656,288.3600972168887,0.05394755533267101,18.284133171261132,0.0,1.3,0.10000000000000009,-1.008733993817168,9.764309764309775,0.0018413832471031455,-16.666666666666664
48,48,2022-05-09,214.6692657470703,-0.12093998231027595,219.35797119140625,279.121598815918,318.8485733032227,274.96176422237625,0.061284363894446074,11.713583015814365,0.0,1.3,0.10000000000000009,-1.008733993817168,9.764309764309775,0.0018413832471031455,16.666666666666664
49,49,2022-05-10,213.686767578125,-0.004587305024002373,209.62062072753906,271.16731719970704,314.71725006103514,263.8208557416033,0.06161576714207448,10.57632015004549,0.0,1.3,0.10000000000000009,-1.008733993817168,9.764309764309775,0.0018413832471031455,0.0
50,50,2022-05-11,207.24708557128906,-0.03059950832202626,204.4552459716797,262.9484466552734,310.03826192220055,253.53471571063704,0.06127528001401385,10.695534966117918,0.0,1.3,0.10000000000000009,-1.008733993817168,9.764309764309775,0.0018413832471031455,50.0
51,51,2022-05-12,211.498046875,0.020304032275795292,217.02334594726562,254.61770629882812,305.67315165201825,245.8916850132485,0.061458485106820074,14.295406595988865,0.0,1.3,0.10000000000000009,-1.008733993817168,9.764309764309775,0.0018413832471031455,12.5
52,52,2022-05-13,227.1984405517578,0.0716080592446454,225.42800903320312,248.4805465698242,301.91699066162107,242.49291329297745,0.06990191072372448,23.26206530610564,0.0,1.3,0.10000000000000009,-1.008733993817168,9.764309764309775,0.0018413832471031455,25.0
53,53,2022-05-16,227.37353515625,0.000770371349351073,232.7821044921875,241.95233612060548,297.69649810791014,239.74393544993606,0.06922290024583569,26.242276984864432,0.0,1.3,0.10000000000000009,-1.008733993817168,9.764309764309775,0.0018413832471031455,
54,54,2022-05-17,236.5953369140625,0.03975704821417379,232.86964416503906,236.36089630126952,293.72989654541016,239.17146298886811,0.07193881641096782,31.65609171339669,0.0,1.3,0.10000000000000009,-1.008733993817168,9.764309764309775,0.0018413832471031455,0.0
55,55,2022-05-18,233.27821350097656,-0.014119452002150505,229.33851623535156,229.75875549316407,289.7081715901693,238.09996308197873,0.070347879391352,28.33162178762754,0.0,1.3,0.10000000000000009,-1.008733993817168,9.764309764309775,0.0018413832471031455,0.0
56,56,2022-05-19,234.19261169433594,0.003912113057269204,238.16148376464844,224.8005844116211,285.8894302368164,237.38953555695275,0.07011137203603221,30.103932261521308,0.0,1.3,0.10000000000000009,-1.008733993817168,9.764309764309775,0.0018413832471031455,
57,57,2022-05-20,236.85797119140625,0.011316780149690045,239.99026489257812,224.25972747802734,281.85214080810545,237.29288749048973,0.05054897954081711,29.369873153206825,0.0,1.3,0.10000000000000009,-1.008733993817168,9.764309764309775,0.0018413832471031455,0.0
58,58,2022-05-23,238.3949432373047,0.006468039890213922,236.62451171875,226.63229522705078,278.03858744303386,237.4932612626379,0.02860495192963567,30.195799002102447,0.0,1.3,0.10000000000000009,-1.008733993817168,9.764309764309775,0.0018413832471031455,0.0
59,59,2022-05-24,233.71595764160156,-0.01982220190829089,231.45913696289062,228.63521423339844,274.43871714274087,236.80647878608582,0.02987431259990124,25.621925509487014,0.0,1.3,0.10000000000000009,-1.008733993817168,9.764309764309775,0.0018413832471031455,0.0
60,60,2022-05-25,235.79766845703125,0.008867578450510998,237.47080993652344,231.49027252197266,271.12516326904296,236.6230587262577,0.02648185326392616,30.186404948751303,0.0,1.3,0.10000000000000009,-1.008733993817168,9.764309764309775,0.0018413832471031455,0.0
61,61,2022-05-26,236.935791015625,0.004815080188357616,239.18287658691406,234.03404693603517,267.8897547403971,236.67991914250632,0.026454039066944712,46.69719670699102,0.0,1.3,0.10000000000000009,-1.008733993817168,9.764309764309775,0.0018413832471031455,0.0
62,62,2022-05-27,251.0311279296875,0.057787766654709825,247.22763061523438,236.4173156738281,265.3466293334961,239.2892298310847,0.023105749630027903,77.0555848350457,0.0,1.3,0.10000000000000009,-1.008733993817168,9.764309764309775,0.0018413832471031455,
63,63,2022-05-31,232.9571990966797,-0.07472220527090674,232.9571990966797,236.9756820678711,262.22179158528644,238.13795151573834,0.03547128203325229,61.43104814409648,0.49999999999999994,0.0,-0.10000000000000009,7.8444992034222505,-10.429447852760742,-0.12244973116301017,0.0
64,64,2022-06-01,228.7937774658203,-0.018033679082528026,228.71595764160156,236.19552612304688,258.75000152587893,236.4390107793896,0.03335820315602373,63.13604636711317,0.49999999999999994,0.0,-0.10000000000000009,7.8444992034222505,-10.429447852760742,-0.12244973116301017,-12.5
