level_0,index,Date,Adj_Closed_price,Log_Return,Next_day_Adj_Open_price,ma_10,ma_30,ema_10,volatility_10,rsi_14,interest_rate_mom,gdp_growth_mom,unemployment_rate_mom,consumer_spending_mom,retail_sales_mom,import_prices_mom,consumer_sentiment_mom,crude_oil_prices_mom,global_trade_volume_mom,daily_sentiment_score
10,10,2022-03-15,115.50472259521484,0.015445329152810954,118.8421707006655,121.73907470703125,0.0,120.34007920101797,0.030940344478315465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.81740690892776,0.0,-7.6923076923076925
11,11,2022-03-16,121.1058349609375,0.04735341499908579,120.86398984454571,120.75418395996094,0.0,120.47930752100334,0.03427612928020961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.81740690892776,0.0,-13.333333333333332
12,12,2022-03-17,123.25341033935547,0.01757765024088991,122.71166963387793,120.14909286499024,0.0,120.98368985161281,0.035124252933633686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.81740690892776,0.0,11.363636363636363
13,13,2022-03-18,126.95845794677734,0.029617447531346805,125.48802767414003,120.1548973083496,0.0,122.0700113234609,0.03629832777147042,49.268397395052496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.81740690892776,0.0,-4.761904761904762
14,14,2022-03-21,125.94269561767578,-0.008032923352541278,132.80141695902282,120.71113662719726,0.0,122.77413574059088,0.03151085792865153,48.178212407956636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.81740690892776,0.0,-10.256410256410257
15,15,2022-03-22,128.74810791015625,0.022030836777428564,128.31277000181257,121.86038055419922,0.0,123.86031249869367,0.029925679212351994,47.5682317375236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.81740690892776,0.0,5.645161290322581
16,16,2022-03-23,128.66102600097656,-0.0006766031273145822,129.3865582466256,122.44564361572266,0.0,124.73316949910874,0.027033084711428013,49.26577284813746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.81740690892776,0.0,-3.846153846153846
17,17,2022-03-24,127.77104187011719,-0.006941313632632476,128.70939198661748,123.03090591430664,0.0,125.28550993020117,0.027017008643498926,51.02926424225172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.81740690892776,0.0,16.666666666666664
18,18,2022-03-25,129.3381805419922,0.012190601837863876,129.39623931020952,124.10178985595704,0.0,126.02235913234499,0.02459187121840067,61.994774766786115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.81740690892776,0.0,16.666666666666664
19,19,2022-03-28,130.4119873046875,0.008268043780363546,133.3528144691012,125.76954650878906,0.0,126.82047334549817,0.017030217562734467,68.64033262415195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.81740690892776,0.0,-22.22222222222222
20,20,2022-03-29,134.60072326660156,0.03161421819721661,134.44595739261197,127.67914657592773,0.0,128.23506424024424,0.0179583661822824,67.37951847870575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.81740690892776,0.0,0.0
21,21,2022-03-30,134.0203094482422,-0.004321439134934195,133.3334597173423,128.9705940246582,0.0,129.28692700533477,0.01488134866048366,67.99999546090535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.81740690892776,0.0,0.0
22,22,2022-03-31,130.17013549804688,-0.02914902210369929,130.06373056320774,129.66226654052736,0.0,129.44751036764606,0.019039066749102204,66.88363016437006,0.25,0.0,0.0,0.0,0.0,0.0,0.0,4.577135129512122,0.0,0.0
23,23,2022-04-01,129.16407775878906,-0.007758812642614401,128.7093820816626,129.88282852172853,0.0,129.3959771660357,0.01736481011404902,75.47105935836582,,,,,,,,,,10.0
24,24,2022-04-04,129.95729064941406,0.006122346243931497,129.6670965647307,130.28428802490234,0.0,129.49803416301356,0.017055422306686954,74.65339586805447,0.25,0.0,0.0,0.0,0.0,0.0,0.0,4.577135129512122,0.0,11.11111111111111
25,25,2022-04-05,127.98387145996094,-0.015301611249231255,125.80728491978297,130.2078643798828,0.0,129.22273185336763,0.01653846407046049,63.389822452865495,0.25,0.0,0.0,0.0,0.0,0.0,0.0,4.577135129512122,0.0,-8.333333333333332
26,26,2022-04-06,124.17241668701172,-0.03023319479339748,123.27274594661837,129.75900344848634,0.0,128.304492732212,0.019010881773581685,51.68022590484969,0.25,0.0,0.0,0.0,0.0,0.0,0.0,4.577135129512122,0.0,33.33333333333333
27,27,2022-04-07,125.15913391113281,0.00791494195524807,125.21716939210356,129.4978126525879,0.0,127.7326093101976,0.01929486386143625,46.347198658332246,0.25,0.0,0.0,0.0,0.0,0.0,0.0,4.577135129512122,0.0,-5.555555555555554
28,28,2022-04-08,123.96924591064453,-0.009552480929083321,121.01875222589415,128.96091918945314,0.0,127.04836141936977,0.01872660876932333,46.021831756198935,0.25,0.0,0.0,0.0,0.0,0.0,0.0,4.577135129512122,0.0,7.142857142857142
