level_0,index,Date,Adj_Closed_price,Log_Return,Next_day_Adj_Open_price,ma_10,ma_30,ema_10,volatility_10,rsi_14,interest_rate_mom,gdp_growth_mom,unemployment_rate_mom,business_investment_mom,industrial_production_mom,enterprise_software_spending_mom,global_trade_volume_mom,corporate_earnings_mom,daily_sentiment_score
0,0,2022-03-01,107.58329010009766,0.0,108.68262092380208,0.0,0.0,107.58329010009766,0.0,0.0,0.0,0.0,-0.20000000000000018,-6.4093186150640635,0.6236254453408918,-1.6122128691681947,1.7976306917581564,0.0,
1,1,2022-03-02,109.80854797363281,0.020473037242184577,110.78374910753139,0.0,0.0,107.9878824407404,0.0,0.0,0.0,0.0,-0.20000000000000018,-6.4093186150640635,0.6236254453408918,-1.6122128691681947,1.7976306917581564,0.0,
2,2,2022-03-03,111.64370727539062,0.01657423908537589,110.28728932481233,0.0,0.0,108.65257786522226,0.0,0.0,0.0,0.0,-0.20000000000000018,-6.4093186150640635,0.6236254453408918,-1.6122128691681947,1.7976306917581564,0.0,25.0
3,3,2022-03-04,112.25543975830078,0.005464371018604802,112.12245274431282,0.0,0.0,109.3076436639638,0.0,0.0,0.0,0.0,-0.20000000000000018,-6.4093186150640635,0.6236254453408918,-1.6122128691681947,1.7976306917581564,0.0,-10.0
4,4,2022-03-07,111.76782989501953,-0.004353214146655971,112.25542835073674,0.0,0.0,109.75495025142848,0.0,0.0,0.0,0.0,-0.20000000000000018,-6.4093186150640635,0.6236254453408918,-1.6122128691681947,1.7976306917581564,0.0,-12.5
5,5,2022-03-08,111.42206573486328,-0.00309838790678179,112.95581131993656,0.0,0.0,110.05806215750754,0.0,0.0,0.0,0.0,-0.20000000000000018,-6.4093186150640635,0.6236254453408918,-1.6122128691681947,1.7976306917581564,0.0,0.0
6,6,2022-03-09,111.90081024169922,0.0042874715643480285,111.48411924789815,0.0,0.0,110.3931072637242,0.0,0.0,0.0,0.0,-0.20000000000000018,-6.4093186150640635,0.6236254453408918,-1.6122128691681947,1.7976306917581564,0.0,15.0
7,7,2022-03-10,110.2429428100586,-0.01492635457246292,110.81921824555313,0.0,0.0,110.365804635785,0.0,0.0,0.0,0.0,-0.20000000000000018,-6.4093186150640635,0.6236254453408918,-1.6122128691681947,1.7976306917581564,0.0,24.999999999999996
8,8,2022-03-11,109.89720153808594,-0.003141104111371883,110.33160069410712,0.0,0.0,110.28060407256697,0.0,0.0,0.0,0.0,-0.20000000000000018,-6.4093186150640635,0.6236254453408918,-1.6122128691681947,1.7976306917581564,0.0,0.0
9,9,2022-03-14,109.87946319580078,-0.00016142152621303633,109.93265680853025,110.64012985229492,0.0,110.20766936770039,0.0,0.0,0.0,0.0,-0.20000000000000018,-6.4093186150640635,0.6236254453408918,-1.6122128691681947,1.7976306917581564,0.0,-16.666666666666664
10,10,2022-03-15,111.38660430908203,0.013623095843296993,112.14905250835861,111.02046127319336,0.0,110.42202117522432,0.010894552638481976,0.0,0.0,0.0,-0.20000000000000018,-6.4093186150640635,0.6236254453408918,-1.6122128691681947,1.7976306917581564,0.0,-12.5
11,11,2022-03-16,112.62779235839844,0.011081437345682807,112.68096846514831,111.30238571166993,0.0,110.82307048125597,0.009593460561183193,0.0,0.0,0.0,-0.20000000000000018,-6.4093186150640635,0.6236254453408918,-1.6122128691681947,1.7976306917581564,0.0,20.83333333333333
12,12,2022-03-17,113.44340515136719,0.007215570498613336,112.92920726137825,111.48235549926758,0.0,111.29949496673072,0.008461413438240832,0.0,0.0,0.0,-0.20000000000000018,-6.4093186150640635,0.6236254453408918,-1.6122128691681947,1.7976306917581564,0.0,0.0
13,13,2022-03-18,114.15264892578125,0.0062324988287953,114.36543600945402,111.67207641601563,0.0,111.81825023201262,0.008503781170085942,76.75081567310195,0.0,0.0,-0.20000000000000018,-6.4093186150640635,0.6236254453408918,-1.6122128691681947,1.7976306917581564,0.0,16.666666666666664
