level_0,index,Date,Adj_Closed_price,Log_Return,Next_day_Adj_Open_price,ma_10,ma_30,ema_10,volatility_10,rsi_14,interest_rate_mom,unemployment_rate_mom,delinquency_rate_mom,personal_savings_rate_mom,gdp_growth_mom,cpi_mom,revolving_credit_mom,consumer_sentiment_mom,housing_starts_mom,retail_sales_mom,daily_sentiment_score
30,30,2022-04-12,125.01586151123047,0.0075911962713709254,123.36135111419685,124.09405822753907,125.98211085001627,124.52290002428626,0.01167389702726708,45.3537191209428,0.25,-0.19999999999999973,0.0,-0.8999999999999999,0.0,1.0606779482313256,2.078633704249322,-5.414012738853502,-3.6739380022962065,2.097546278219653,
31,31,2022-04-13,125.38459777832031,0.002945174578932618,125.4885701649134,123.9191505432129,125.71171493530274,124.67957234320153,0.011552527758283677,43.28757419683475,0.25,-0.19999999999999973,0.0,-0.8999999999999999,0.0,1.0606779482313256,2.078633704249322,-5.414012738853502,-3.6739380022962065,2.097546278219653,
32,32,2022-04-14,125.35620880126953,-0.00022644082197349752,125.01586883848344,124.04205780029297,125.52483215332032,124.80259715375934,0.008418931642492897,40.583795748627765,0.25,-0.19999999999999973,0.0,-0.8999999999999999,0.0,1.0606779482313256,2.078633704249322,-5.414012738853502,-3.6739380022962065,2.097546278219653,
33,33,2022-04-18,130.45216369628906,0.039847242749336605,130.55615501485477,124.71237716674804,125.64647928873698,125.82979107058293,0.014711424957583142,61.690557156676,0.25,-0.19999999999999973,0.0,-0.8999999999999999,0.0,1.0606779482313256,2.078633704249322,-5.414012738853502,-3.6739380022962065,2.097546278219653,0.0
34,34,2022-04-19,133.86520385742188,0.025826754441489033,134.94303323725603,125.6502586364746,126.1756113688151,127.29077521364455,0.016090769336559174,63.78498047443576,0.25,-0.19999999999999973,0.0,-0.8999999999999999,0.0,1.0606779482313256,2.078633704249322,-5.414012738853502,-3.6739380022962065,2.097546278219653,
35,35,2022-04-20,134.11105346679688,0.0018348616463663993,135.3212164758497,126.73090286254883,126.67259979248047,128.5308258051268,0.015145355054812374,68.05286490400313,0.25,-0.19999999999999973,0.0,-0.8999999999999999,0.0,1.0606779482313256,2.078633704249322,-5.414012738853502,-3.6739380022962065,2.097546278219653,
36,36,2022-04-21,132.3430633544922,-0.013270698011790262,131.6245055852218,127.74252700805664,126.92692387898764,129.2239599050114,0.015765359807300268,72.71311832238818,0.25,-0.19999999999999973,0.0,-0.8999999999999999,0.0,1.0606779482313256,2.078633704249322,-5.414012738853502,-3.6739380022962065,2.097546278219653,-50.0
37,37,2022-04-22,127.89945983886719,-0.03415303065681636,126.61367386897136,128.30695571899415,127.08512776692709,128.983141711167,0.020634151300081394,59.368315117791695,0.25,-0.19999999999999973,0.0,-0.8999999999999999,0.0,1.0606779482313256,2.078633704249322,-5.414012738853502,-3.6739380022962065,2.097546278219653,
38,38,2022-04-25,129.01510620117188,0.008685014572825615,126.3394897069899,128.75131530761718,127.2858772277832,128.98895343662244,0.02009950376576589,60.05042925140397,0.25,-0.19999999999999973,0.0,-0.8999999999999999,0.0,1.0606779482313256,2.078633704249322,-5.414012738853502,-3.6739380022962065,2.097546278219653,0.0
39,39,2022-04-26,125.01586151123047,-0.03148887849837001,114.37965125837442,128.845858001709,127.24049580891928,128.26657308655118,0.022920877325756456,53.37558870422315,0.25,-0.19999999999999973,0.0,-0.8999999999999999,0.0,1.0606779482313256,2.078633704249322,-5.414012738853502,-3.6739380022962065,2.097546278219653,0.0
