Date,pharmaceutical_prices,unemployment_rate,interest_rate,gdp_growth,consumer_sentiment,m2_money_supply
2022-03-09,281.741,4.1,0.08,2.8,70.5,21221.2
2022-03-10,281.741,4.1,0.08,2.8,70.5,21221.2
2022-03-11,281.741,4.1,0.08,2.8,70.5,21221.2
2022-03-12,281.741,4.1,0.08,2.8,70.5,21221.2
2022-03-13,281.741,4.1,0.08,2.8,70.5,21221.2
2022-03-14,281.741,4.1,0.08,2.8,70.5,21221.2
2022-03-15,281.741,4.1,0.08,2.8,70.5,21221.2
2022-03-16,281.741,4.1,0.08,2.8,70.5,21221.2
2022-03-17,281.741,4.1,0.33,2.8,70.5,21221.2
2022-03-18,281.741,4.1,0.33,2.8,70.5,21221.2
2022-03-19,281.741,4.1,0.33,2.8,70.5,21221.2
2022-03-20,281.741,4.1,0.33,2.8,70.5,21221.2
2022-03-21,281.741,4.1,0.33,2.8,70.5,21221.2
2022-03-22,281.741,4.1,0.33,2.8,70.5,21221.2
2022-03-23,281.741,4.1,0.33,2.8,70.5,21221.2
2022-03-24,281.741,4.1,0.33,2.8,70.5,21221.2
2022-03-25,281.741,4.1,0.33,2.8,70.5,21221.2
2022-03-26,281.741,4.1,0.33,2.8,70.5,21221.2
2022-03-27,281.741,4.1,0.33,2.8,70.5,21221.2
2022-03-28,281.741,4.1,0.33,2.8,70.5,21221.2
2022-03-29,281.741,4.1,0.33,2.8,70.5,21221.2
2022-03-30,281.741,4.1,0.33,2.8,70.5,21221.2
2022-03-31,281.741,4.1,0.33,2.8,70.5,21221.2
2022-04-02,281.741,4.1,0.33,2.8,70.5,21221.2
2022-04-03,281.741,4.1,0.33,2.8,70.5,21221.2
2022-04-04,281.741,4.1,0.33,2.8,70.5,21221.2
2022-04-05,281.741,4.1,0.33,2.8,70.5,21221.2
2022-04-06,281.741,4.1,0.33,2.8,70.5,21221.2
2022-04-07,281.741,4.1,0.33,2.8,70.5,21221.2
2022-04-08,281.741,4.1,0.33,2.8,70.5,21221.2
2022-04-09,281.741,4.1,0.33,2.8,70.5,21221.2
2022-04-10,281.741,4.1,0.33,2.8,70.5,21221.2
2022-04-11,281.741,4.1,0.33,2.8,70.5,21221.2
2022-04-12,281.741,4.1,0.33,2.8,70.5,21221.2
2022-04-13,281.741,4.1,0.33,2.8,70.5,21221.2
2022-04-14,281.741,4.1,0.33,2.8,70.5,21221.2
2022-04-15,281.741,4.1,0.33,2.8,70.5,21221.2
2022-04-16,281.741,4.1,0.33,2.8,70.5,21221.2
2022-04-17,281.741,4.1,0.33,2.8,70.5,21221.2
2022-04-18,281.741,4.1,0.33,2.8,70.5,21221.2
2022-04-19,281.741,4.1,0.33,2.8,70.5,21221.2
2022-04-20,281.741,4.1,0.33,2.8,70.5,21221.2
2022-04-21,281.741,4.1,0.33,2.8,70.5,21221.2
2022-04-22,281.741,4.1,0.33,2.8,70.5,21221.2
2022-04-23,281.741,4.1,0.33,2.8,70.5,21221.2
2022-04-24,281.741,4.1,0.33,2.8,70.5,21221.2
2022-04-25,281.741,4.1,0.33,2.8,70.5,21221.2
2022-04-26,281.741,4.1,0.33,2.8,70.5,21221.2
2022-04-27,281.741,4.1,0.33,2.8,70.5,21221.2
2022-04-28,281.741,4.1,0.33,2.8,70.5,21221.2
2022-04-29,281.741,4.1,0.33,2.8,70.5,21221.2
2022-04-30,281.741,4.1,0.33,2.8,70.5,21221.2
2022-05-02,281.741,4.1,0.33,2.8,70.5,21221.2
2022-05-03,281.741,4.1,0.33,2.8,70.5,21221.2
2022-05-04,281.741,4.1,0.33,2.8,70.5,21221.2
2022-05-05,281.741,4.1,0.83,2.8,70.5,21221.2
2022-05-06,281.741,4.1,0.83,2.8,70.5,21221.2
2022-05-07,281.741,4.1,0.83,2.8,70.5,21221.2
2022-05-08,281.741,4.1,0.83,2.8,70.5,21221.2
2022-05-09,281.741,4.1,0.83,2.8,70.5,21221.2
2022-05-10,281.741,4.1,0.83,2.8,70.5,21221.2
2022-05-11,281.741,4.1,0.83,2.8,70.5,21221.2
2022-05-12,281.741,4.1,0.83,2.8,70.5,21221.2
2022-05-13,281.741,4.1,0.83,2.8,70.5,21221.2
2022-05-14,281.741,4.1,0.83,2.8,70.5,21221.2
2022-05-15,281.741,4.1,0.83,2.8,70.5,21221.2
2022-05-16,281.741,4.1,0.83,2.8,70.5,21221.2
2022-05-17,281.741,4.1,0.83,2.8,70.5,21221.2
2022-05-18,281.741,4.1,0.83,2.8,70.5,21221.2
2022-05-19,281.741,4.1,0.83,2.8,70.5,21221.2
2022-05-20,281.741,4.1,0.83,2.8,70.5,21221.2
2022-05-21,281.741,4.1,0.83,2.8,70.5,21221.2
2022-05-22,281.741,4.1,0.83,2.8,70.5,21221.2
2022-05-23,281.741,4.1,0.83,2.8,70.5,21221.2
2022-05-24,281.741,4.1,0.83,2.8,70.5,21221.2
2022-05-25,281.741,4.1,0.83,2.8,70.5,21221.2
2022-05-26,281.741,4.1,0.83,2.8,70.5,21221.2
2022-05-27,281.741,4.1,0.83,2.8,70.5,21221.2
2022-05-28,281.741,4.1,0.83,2.8,70.5,21221.2
2022-05-29,281.741,4.1,0.83,2.8,70.5,21221.2
