Date,interest_rate,unemployment_rate,cpi,gdp_growth,industrial_production,vehicle_sales,personal_consumption,retail_sales_auto,crude_oil_prices,sp500
2022-03-02,0.08,3.6,287.553,-1.0,102.6732,14.253,17371.4,139701.0,110.74,4386.54
2022-03-03,0.08,3.6,287.553,-1.0,102.6732,14.253,17371.4,139701.0,107.69,4363.49
2022-03-04,0.08,3.6,287.553,-1.0,102.6732,14.253,17371.4,139701.0,115.77,4328.87
2022-03-05,0.08,3.6,287.553,-1.0,102.6732,14.253,17371.4,139701.0,115.77,4328.87
2022-03-06,0.08,3.6,287.553,-1.0,102.6732,14.253,17371.4,139701.0,115.77,4328.87
2022-03-07,0.08,3.6,287.553,-1.0,102.6732,14.253,17371.4,139701.0,119.26,4201.09
2022-03-08,0.08,3.6,287.553,-1.0,102.6732,14.253,17371.4,139701.0,123.64,4170.7
2022-03-09,0.08,3.6,287.553,-1.0,102.6732,14.253,17371.4,139701.0,108.81,4277.88
2022-03-10,0.08,3.6,287.553,-1.0,102.6732,14.253,17371.4,139701.0,105.93,4259.52
2022-03-11,0.08,3.6,287.553,-1.0,102.6732,14.253,17371.4,139701.0,109.31,4204.31
2022-03-12,0.08,3.6,287.553,-1.0,102.6732,14.253,17371.4,139701.0,109.31,4204.31
2022-03-13,0.08,3.6,287.553,-1.0,102.6732,14.253,17371.4,139701.0,109.31,4204.31
2022-03-14,0.08,3.6,287.553,-1.0,102.6732,14.253,17371.4,139701.0,103.22,4173.11
2022-03-15,0.08,3.6,287.553,-1.0,102.6732,14.253,17371.4,139701.0,96.42,4262.45
2022-03-16,0.08,3.6,287.553,-1.0,102.6732,14.253,17371.4,139701.0,94.85,4357.86
2022-03-17,0.33,3.6,287.553,-1.0,102.6732,14.253,17371.4,139701.0,102.97,4411.67
2022-03-18,0.33,3.6,287.553,-1.0,102.6732,14.253,17371.4,139701.0,104.69,4463.12
2022-03-19,0.33,3.6,287.553,-1.0,102.6732,14.253,17371.4,139701.0,104.69,4463.12
2022-03-20,0.33,3.6,287.553,-1.0,102.6732,14.253,17371.4,139701.0,104.69,4463.12
2022-03-21,0.33,3.6,287.553,-1.0,102.6732,14.253,17371.4,139701.0,112.14,4461.18
2022-03-22,0.33,3.6,287.553,-1.0,102.6732,14.253,17371.4,139701.0,111.03,4511.61
2022-03-23,0.33,3.6,287.553,-1.0,102.6732,14.253,17371.4,139701.0,114.89,4456.24
2022-03-24,0.33,3.6,287.553,-1.0,102.6732,14.253,17371.4,139701.0,114.2,4520.16
2022-03-25,0.33,3.6,287.553,-1.0,102.6732,14.253,17371.4,139701.0,116.2,4543.06
2022-03-26,0.33,3.6,287.553,-1.0,102.6732,14.253,17371.4,139701.0,116.2,4543.06
2022-03-27,0.33,3.6,287.553,-1.0,102.6732,14.253,17371.4,139701.0,116.2,4543.06
2022-03-28,0.33,3.6,287.553,-1.0,102.6732,14.253,17371.4,139701.0,107.55,4575.52
2022-03-29,0.33,3.6,287.553,-1.0,102.6732,14.253,17371.4,139701.0,104.25,4631.6
2022-03-30,0.33,3.6,287.553,-1.0,102.6732,14.253,17371.4,139701.0,107.81,4602.45
2022-03-31,0.33,3.6,287.553,-1.0,102.6732,14.253,17371.4,139701.0,100.53,4530.41
2022-04-01,0.33,3.7,288.764,0.3,102.9024,14.681,17493.8,136612.0,99.32,4545.86
2022-04-02,0.33,3.7,288.764,0.3,102.9024,14.681,17493.8,136612.0,99.32,4545.86
2022-04-03,0.33,3.7,288.764,0.3,102.9024,14.681,17493.8,136612.0,99.32,4545.86
2022-04-04,0.33,3.7,288.764,0.3,102.9024,14.681,17493.8,136612.0,103.29,4582.64
2022-04-05,0.33,3.7,288.764,0.3,102.9024,14.681,17493.8,136612.0,101.98,4525.12
2022-04-06,0.33,3.7,288.764,0.3,102.9024,14.681,17493.8,136612.0,96.39,4481.15
2022-04-07,0.33,3.7,288.764,0.3,102.9024,14.681,17493.8,136612.0,96.05,4500.21
2022-04-08,0.33,3.7,288.764,0.3,102.9024,14.681,17493.8,136612.0,98.35,4488.28
2022-04-09,0.33,3.7,288.764,0.3,102.9024,14.681,17493.8,136612.0,98.35,4488.28
2022-04-10,0.33,3.7,288.764,0.3,102.9024,14.681,17493.8,136612.0,98.35,4488.28
2022-04-11,0.33,3.7,288.764,0.3,102.9024,14.681,17493.8,136612.0,94.22,4412.53
2022-04-12,0.33,3.7,288.764,0.3,102.9024,14.681,17493.8,136612.0,100.52,4397.45
2022-04-13,0.33,3.7,288.764,0.3,102.9024,14.681,17493.8,136612.0,104.26,4446.59
2022-04-14,0.33,3.7,288.764,0.3,102.9024,14.681,17493.8,136612.0,106.84,4392.59
2022-04-15,0.33,3.7,288.764,0.3,102.9024,14.681,17493.8,136612.0,106.84,4392.59
2022-04-16,0.33,3.7,288.764,0.3,102.9024,14.681,17493.8,136612.0,106.84,4392.59
2022-04-17,0.33,3.7,288.764,0.3,102.9024,14.681,17493.8,136612.0,106.84,4392.59
2022-04-18,0.33,3.7,288.764,0.3,102.9024,14.681,17493.8,136612.0,108.24,4391.69
2022-04-19,0.33,3.7,288.764,0.3,102.9024,14.681,17493.8,136612.0,102.54,4462.21
2022-04-20,0.33,3.7,288.764,0.3,102.9024,14.681,17493.8,136612.0,102.56,4459.45
2022-04-21,0.33,3.7,288.764,0.3,102.9024,14.681,17493.8,136612.0,103.89,4393.66
2022-04-22,0.33,3.7,288.764,0.3,102.9024,14.681,17493.8,136612.0,102.86,4271.78
2022-04-23,0.33,3.7,288.764,0.3,102.9024,14.681,17493.8,136612.0,102.86,4271.78
2022-04-24,0.33,3.7,288.764,0.3,102.9024,14.681,17493.8,136612.0,102.86,4271.78
2022-04-25,0.33,3.7,288.764,0.3,102.9024,14.681,17493.8,136612.0,99.6,4296.12
2022-04-26,0.33,3.7,288.764,0.3,102.9024,14.681,17493.8,136612.0,102.62,4175.2
2022-04-27,0.33,3.7,288.764,0.3,102.9024,14.681,17493.8,136612.0,101.96,4183.96
2022-04-28,0.33,3.7,288.764,0.3,102.9024,14.681,17493.8,136612.0,105.47,4287.5
2022-04-29,0.33,3.7,288.764,0.3,102.9024,14.681,17493.8,136612.0,104.59,4131.93
2022-04-30,0.33,3.7,288.764,0.3,102.9024,14.681,17493.8,136612.0,104.59,4131.93
2022-05-01,0.33,3.6,291.359,0.3,102.9659,13.286,17569.9,131300.0,104.59,4131.93
2022-05-02,0.33,3.6,291.359,0.3,102.9659,13.286,17569.9,131300.0,105.18,4155.38
2022-05-03,0.33,3.6,291.359,0.3,102.9659,13.286,17569.9,131300.0,102.53,4175.48
2022-05-04,0.33,3.6,291.359,0.3,102.9659,13.286,17569.9,131300.0,107.84,4300.17
2022-05-05,0.83,3.6,291.359,0.3,102.9659,13.286,17569.9,131300.0,108.17,4146.87
2022-05-06,0.83,3.6,291.359,0.3,102.9659,13.286,17569.9,131300.0,109.72,4123.34
2022-05-07,0.83,3.6,291.359,0.3,102.9659,13.286,17569.9,131300.0,109.72,4123.34
2022-05-08,0.83,3.6,291.359,0.3,102.9659,13.286,17569.9,131300.0,109.72,4123.34
2022-05-09,0.83,3.6,291.359,0.3,102.9659,13.286,17569.9,131300.0,103.08,3991.24
2022-05-10,0.83,3.6,291.359,0.3,102.9659,13.286,17569.9,131300.0,99.74,4001.05
2022-05-11,0.83,3.6,291.359,0.3,102.9659,13.286,17569.9,131300.0,105.5,3935.18
2022-05-12,0.83,3.6,291.359,0.3,102.9659,13.286,17569.9,131300.0,106.15,3930.08
2022-05-13,0.83,3.6,291.359,0.3,102.9659,13.286,17569.9,131300.0,110.52,4023.89
2022-05-14,0.83,3.6,291.359,0.3,102.9659,13.286,17569.9,131300.0,110.52,4023.89
2022-05-15,0.83,3.6,291.359,0.3,102.9659,13.286,17569.9,131300.0,110.52,4023.89
2022-05-16,0.83,3.6,291.359,0.3,102.9659,13.286,17569.9,131300.0,114.07,4008.01
2022-05-17,0.83,3.6,291.359,0.3,102.9659,13.286,17569.9,131300.0,112.31,4088.85
2022-05-18,0.83,3.6,291.359,0.3,102.9659,13.286,17569.9,131300.0,109.67,3923.68
2022-05-19,0.83,3.6,291.359,0.3,102.9659,13.286,17569.9,131300.0,112.21,3900.79
2022-05-20,0.83,3.6,291.359,0.3,102.9659,13.286,17569.9,131300.0,112.63,3901.36
2022-05-21,0.83,3.6,291.359,0.3,102.9659,13.286,17569.9,131300.0,112.63,3901.36
2022-05-22,0.83,3.6,291.359,0.3,102.9659,13.286,17569.9,131300.0,112.63,3901.36
2022-05-23,0.83,3.6,291.359,0.3,102.9659,13.286,17569.9,131300.0,110.32,3973.75
2022-05-24,0.83,3.6,291.359,0.3,102.9659,13.286,17569.9,131300.0,112.55,3941.48
2022-05-25,0.83,3.6,291.359,0.3,102.9659,13.286,17569.9,131300.0,112.88,3978.73
2022-05-26,0.83,3.6,291.359,0.3,102.9659,13.286,17569.9,131300.0,116.19,4057.84
2022-05-27,0.83,3.6,291.359,0.3,102.9659,13.286,17569.9,131300.0,114.96,4158.24
2022-05-28,0.83,3.6,291.359,0.3,102.9659,13.286,17569.9,131300.0,114.96,4158.24
2022-05-29,0.83,3.6,291.359,0.3,102.9659,13.286,17569.9,131300.0,114.96,4158.24
2022-05-30,0.83,3.6,291.359,0.3,102.9659,13.286,17569.9,131300.0,114.96,4158.24
2022-05-31,0.83,3.6,291.359,0.3,102.9659,13.286,17569.9,131300.0,114.38,4132.15
2022-06-01,0.83,3.6,294.996,0.3,102.8224,13.669,17747.6,131679.0,115.26,4101.23
2022-06-02,0.83,3.6,294.996,0.3,102.8224,13.669,17747.6,131679.0,116.88,4176.82
2022-06-03,0.83,3.6,294.996,0.3,102.8224,13.669,17747.6,131679.0,118.97,4108.54
2022-06-04,0.83,3.6,294.996,0.3,102.8224,13.669,17747.6,131679.0,118.97,4108.54
2022-06-05,0.83,3.6,294.996,0.3,102.8224,13.669,17747.6,131679.0,118.97,4108.54
2022-06-06,0.83,3.6,294.996,0.3,102.8224,13.669,17747.6,131679.0,118.41,4121.43
2022-06-07,0.83,3.6,294.996,0.3,102.8224,13.669,17747.6,131679.0,119.55,4160.68
2022-06-08,0.83,3.6,294.996,0.3,102.8224,13.669,17747.6,131679.0,121.94,4115.77
2022-06-09,0.83,3.6,294.996,0.3,102.8224,13.669,17747.6,131679.0,121.52,4017.82
2022-06-10,0.83,3.6,294.996,0.3,102.8224,13.669,17747.6,131679.0,120.73,3900.86
2022-06-11,0.83,3.6,294.996,0.3,102.8224,13.669,17747.6,131679.0,120.73,3900.86
2022-06-12,0.83,3.6,294.996,0.3,102.8224,13.669,17747.6,131679.0,120.73,3900.86
2022-06-13,0.83,3.6,294.996,0.3,102.8224,13.669,17747.6,131679.0,120.92,3749.63
2022-06-14,0.83,3.6,294.996,0.3,102.8224,13.669,17747.6,131679.0,118.92,3735.48
2022-06-15,0.83,3.6,294.996,0.3,102.8224,13.669,17747.6,131679.0,115.32,3789.99
2022-06-16,1.58,3.6,294.996,0.3,102.8224,13.669,17747.6,131679.0,117.56,3666.77
2022-06-17,1.58,3.6,294.996,0.3,102.8224,13.669,17747.6,131679.0,109.56,3674.84
2022-06-18,1.58,3.6,294.996,0.3,102.8224,13.669,17747.6,131679.0,109.56,3674.84
2022-06-19,1.58,3.6,294.996,0.3,102.8224,13.669,17747.6,131679.0,109.56,3674.84
2022-06-20,1.58,3.6,294.996,0.3,102.8224,13.669,17747.6,131679.0,109.56,3674.84
2022-06-21,1.58,3.6,294.996,0.3,102.8224,13.669,17747.6,131679.0,110.49,3764.79
2022-06-22,1.58,3.6,294.996,0.3,102.8224,13.669,17747.6,131679.0,106.22,3759.89
2022-06-23,1.58,3.6,294.996,0.3,102.8224,13.669,17747.6,131679.0,105.75,3795.73
2022-06-24,1.58,3.6,294.996,0.3,102.8224,13.669,17747.6,131679.0,109.07,3911.74
2022-06-25,1.58,3.6,294.996,0.3,102.8224,13.669,17747.6,131679.0,109.07,3911.74
2022-06-26,1.58,3.6,294.996,0.3,102.8224,13.669,17747.6,131679.0,109.07,3911.74
2022-06-27,1.58,3.6,294.996,0.3,102.8224,13.669,17747.6,131679.0,111.44,3900.11
2022-06-28,1.58,3.6,294.996,0.3,102.8224,13.669,17747.6,131679.0,113.66,3821.55
2022-06-29,1.58,3.6,294.996,0.3,102.8224,13.669,17747.6,131679.0,111.65,3818.83
2022-06-30,1.58,3.6,294.996,0.3,102.8224,13.669,17747.6,131679.0,107.76,3785.38
2022-07-01,1.58,3.5,294.977,2.7,103.0505,13.867,17744.0,126681.0,110.3,3825.33
2022-07-02,1.58,3.5,294.977,2.7,103.0505,13.867,17744.0,126681.0,110.3,3825.33
2022-07-03,1.58,3.5,294.977,2.7,103.0505,13.867,17744.0,126681.0,110.3,3825.33
2022-07-04,1.58,3.5,294.977,2.7,103.0505,13.867,17744.0,126681.0,110.3,3825.33
2022-07-05,1.58,3.5,294.977,2.7,103.0505,13.867,17744.0,126681.0,101.55,3831.39
2022-07-06,1.58,3.5,294.977,2.7,103.0505,13.867,17744.0,126681.0,100.31,3845.08
2022-07-07,1.58,3.5,294.977,2.7,103.0505,13.867,17744.0,126681.0,104.62,3902.62
2022-07-08,1.58,3.5,294.977,2.7,103.0505,13.867,17744.0,126681.0,106.78,3899.38
2022-07-09,1.58,3.5,294.977,2.7,103.0505,13.867,17744.0,126681.0,106.78,3899.38
2022-07-10,1.58,3.5,294.977,2.7,103.0505,13.867,17744.0,126681.0,106.78,3899.38
2022-07-11,1.58,3.5,294.977,2.7,103.0505,13.867,17744.0,126681.0,106.09,3854.43
2022-07-12,1.58,3.5,294.977,2.7,103.0505,13.867,17744.0,126681.0,97.69,3818.8
2022-07-13,1.58,3.5,294.977,2.7,103.0505,13.867,17744.0,126681.0,98.44,3801.78
2022-07-14,1.58,3.5,294.977,2.7,103.0505,13.867,17744.0,126681.0,97.79,3790.38
2022-07-15,1.58,3.5,294.977,2.7,103.0505,13.867,17744.0,126681.0,99.59,3863.16
2022-07-16,1.58,3.5,294.977,2.7,103.0505,13.867,17744.0,126681.0,99.59,3863.16
2022-07-17,1.58,3.5,294.977,2.7,103.0505,13.867,17744.0,126681.0,99.59,3863.16
2022-07-18,1.58,3.5,294.977,2.7,103.0505,13.867,17744.0,126681.0,104.48,3830.85
2022-07-19,1.58,3.5,294.977,2.7,103.0505,13.867,17744.0,126681.0,106.12,3936.69
2022-07-20,1.58,3.5,294.977,2.7,103.0505,13.867,17744.0,126681.0,104.45,3959.9
2022-07-21,1.58,3.5,294.977,2.7,103.0505,13.867,17744.0,126681.0,98.44,3998.95
2022-07-22,1.58,3.5,294.977,2.7,103.0505,13.867,17744.0,126681.0,97.71,3961.63
2022-07-23,1.58,3.5,294.977,2.7,103.0505,13.867,17744.0,126681.0,97.71,3961.63
2022-07-24,1.58,3.5,294.977,2.7,103.0505,13.867,17744.0,126681.0,97.71,3961.63
2022-07-25,1.58,3.5,294.977,2.7,103.0505,13.867,17744.0,126681.0,99.83,3966.84
2022-07-26,1.58,3.5,294.977,2.7,103.0505,13.867,17744.0,126681.0,97.74,3921.05
2022-07-27,1.58,3.5,294.977,2.7,103.0505,13.867,17744.0,126681.0,100.03,4023.61
2022-07-28,2.33,3.5,294.977,2.7,103.0505,13.867,17744.0,126681.0,99.11,4072.43
2022-07-29,2.32,3.5,294.977,2.7,103.0505,13.867,17744.0,126681.0,101.31,4130.29
2022-07-30,2.32,3.5,294.977,2.7,103.0505,13.867,17744.0,126681.0,101.31,4130.29
2022-07-31,2.32,3.5,294.977,2.7,103.0505,13.867,17744.0,126681.0,101.31,4130.29
2022-08-01,2.33,3.6,295.209,2.7,103.1703,14.064,17897.5,135145.0,96.59,4118.63
2022-08-02,2.33,3.6,295.209,2.7,103.1703,14.064,17897.5,135145.0,97.14,4091.19
2022-08-03,2.33,3.6,295.209,2.7,103.1703,14.064,17897.5,135145.0,93.25,4155.17
2022-08-04,2.33,3.6,295.209,2.7,103.1703,14.064,17897.5,135145.0,91.29,4151.94
2022-08-05,2.33,3.6,295.209,2.7,103.1703,14.064,17897.5,135145.0,91.77,4145.19
2022-08-06,2.33,3.6,295.209,2.7,103.1703,14.064,17897.5,135145.0,91.77,4145.19
2022-08-07,2.33,3.6,295.209,2.7,103.1703,14.064,17897.5,135145.0,91.77,4145.19
2022-08-08,2.33,3.6,295.209,2.7,103.1703,14.064,17897.5,135145.0,93.52,4140.06
2022-08-09,2.33,3.6,295.209,2.7,103.1703,14.064,17897.5,135145.0,93.18,4122.47
2022-08-10,2.33,3.6,295.209,2.7,103.1703,14.064,17897.5,135145.0,94.68,4210.24
2022-08-11,2.33,3.6,295.209,2.7,103.1703,14.064,17897.5,135145.0,97.02,4207.27
2022-08-12,2.33,3.6,295.209,2.7,103.1703,14.064,17897.5,135145.0,94.86,4280.15
2022-08-13,2.33,3.6,295.209,2.7,103.1703,14.064,17897.5,135145.0,94.86,4280.15
2022-08-14,2.33,3.6,295.209,2.7,103.1703,14.064,17897.5,135145.0,94.86,4280.15
2022-08-15,2.33,3.6,295.209,2.7,103.1703,14.064,17897.5,135145.0,92.24,4297.14
2022-08-16,2.33,3.6,295.209,2.7,103.1703,14.064,17897.5,135145.0,89.23,4305.2
2022-08-17,2.33,3.6,295.209,2.7,103.1703,14.064,17897.5,135145.0,90.85,4274.04
2022-08-18,2.33,3.6,295.209,2.7,103.1703,14.064,17897.5,135145.0,93.2,4283.74
2022-08-19,2.33,3.6,295.209,2.7,103.1703,14.064,17897.5,135145.0,93.55,4228.48
2022-08-20,2.33,3.6,295.209,2.7,103.1703,14.064,17897.5,135145.0,93.55,4228.48
2022-08-21,2.33,3.6,295.209,2.7,103.1703,14.064,17897.5,135145.0,93.55,4228.48
2022-08-22,2.33,3.6,295.209,2.7,103.1703,14.064,17897.5,135145.0,93.42,4137.99
2022-08-23,2.33,3.6,295.209,2.7,103.1703,14.064,17897.5,135145.0,96.46,4128.73
2022-08-24,2.33,3.6,295.209,2.7,103.1703,14.064,17897.5,135145.0,95.52,4140.77
2022-08-25,2.33,3.6,295.209,2.7,103.1703,14.064,17897.5,135145.0,93.33,4199.12
