Date,business_investment,software_spending,corporate_earnings,interest_rate,gdp_growth,industrial_production,m2_money_supply,consumer_sentiment
2022-03-02,81335.0,11451.8,2566.259,0.08,-1.0,102.6732,21722.8,59.4
2022-03-03,81335.0,11451.8,2566.259,0.08,-1.0,102.6732,21722.8,59.4
2022-03-04,81335.0,11451.8,2566.259,0.08,-1.0,102.6732,21722.8,59.4
2022-03-05,81335.0,11451.8,2566.259,0.08,-1.0,102.6732,21722.8,59.4
2022-03-06,81335.0,11451.8,2566.259,0.08,-1.0,102.6732,21722.8,59.4
2022-03-07,81335.0,11451.8,2566.259,0.08,-1.0,102.6732,21722.8,59.4
2022-03-08,81335.0,11451.8,2566.259,0.08,-1.0,102.6732,21722.8,59.4
2022-03-09,81335.0,11451.8,2566.259,0.08,-1.0,102.6732,21722.8,59.4
2022-03-10,81335.0,11451.8,2566.259,0.08,-1.0,102.6732,21722.8,59.4
2022-03-11,81335.0,11451.8,2566.259,0.08,-1.0,102.6732,21722.8,59.4
2022-03-12,81335.0,11451.8,2566.259,0.08,-1.0,102.6732,21722.8,59.4
2022-03-13,81335.0,11451.8,2566.259,0.08,-1.0,102.6732,21722.8,59.4
2022-03-14,81335.0,11451.8,2566.259,0.08,-1.0,102.6732,21722.8,59.4
2022-03-15,81335.0,11451.8,2566.259,0.08,-1.0,102.6732,21722.8,59.4
2022-03-16,81335.0,11451.8,2566.259,0.08,-1.0,102.6732,21722.8,59.4
2022-03-17,81335.0,11451.8,2566.259,0.33,-1.0,102.6732,21722.8,59.4
2022-03-18,81335.0,11451.8,2566.259,0.33,-1.0,102.6732,21722.8,59.4
2022-03-19,81335.0,11451.8,2566.259,0.33,-1.0,102.6732,21722.8,59.4
2022-03-20,81335.0,11451.8,2566.259,0.33,-1.0,102.6732,21722.8,59.4
2022-03-21,81335.0,11451.8,2566.259,0.33,-1.0,102.6732,21722.8,59.4
2022-03-22,81335.0,11451.8,2566.259,0.33,-1.0,102.6732,21722.8,59.4
2022-03-23,81335.0,11451.8,2566.259,0.33,-1.0,102.6732,21722.8,59.4
2022-03-24,81335.0,11451.8,2566.259,0.33,-1.0,102.6732,21722.8,59.4
2022-03-25,81335.0,11451.8,2566.259,0.33,-1.0,102.6732,21722.8,59.4
2022-03-26,81335.0,11451.8,2566.259,0.33,-1.0,102.6732,21722.8,59.4
2022-03-27,81335.0,11451.8,2566.259,0.33,-1.0,102.6732,21722.8,59.4
2022-03-28,81335.0,11451.8,2566.259,0.33,-1.0,102.6732,21722.8,59.4
2022-03-29,81335.0,11451.8,2566.259,0.33,-1.0,102.6732,21722.8,59.4
2022-03-30,81335.0,11451.8,2566.259,0.33,-1.0,102.6732,21722.8,59.4
2022-03-31,81335.0,11451.8,2566.259,0.33,-1.0,102.6732,21722.8,59.4
2022-04-01,84325.0,11545.6,2728.056,0.33,0.3,102.9024,21723.2,65.2
2022-04-02,84325.0,11545.6,2728.056,0.33,0.3,102.9024,21723.2,65.2
2022-04-03,84325.0,11545.6,2728.056,0.33,0.3,102.9024,21723.2,65.2
2022-04-04,84325.0,11545.6,2728.056,0.33,0.3,102.9024,21723.2,65.2
2022-04-05,84325.0,11545.6,2728.056,0.33,0.3,102.9024,21723.2,65.2
2022-04-06,84325.0,11545.6,2728.056,0.33,0.3,102.9024,21723.2,65.2
2022-04-07,84325.0,11545.6,2728.056,0.33,0.3,102.9024,21723.2,65.2
2022-04-08,84325.0,11545.6,2728.056,0.33,0.3,102.9024,21723.2,65.2
2022-04-09,84325.0,11545.6,2728.056,0.33,0.3,102.9024,21723.2,65.2
2022-04-10,84325.0,11545.6,2728.056,0.33,0.3,102.9024,21723.2,65.2
2022-04-11,84325.0,11545.6,2728.056,0.33,0.3,102.9024,21723.2,65.2
2022-04-12,84325.0,11545.6,2728.056,0.33,0.3,102.9024,21723.2,65.2
2022-04-13,84325.0,11545.6,2728.056,0.33,0.3,102.9024,21723.2,65.2
2022-04-14,84325.0,11545.6,2728.056,0.33,0.3,102.9024,21723.2,65.2
2022-04-15,84325.0,11545.6,2728.056,0.33,0.3,102.9024,21723.2,65.2
2022-04-16,84325.0,11545.6,2728.056,0.33,0.3,102.9024,21723.2,65.2
2022-04-17,84325.0,11545.6,2728.056,0.33,0.3,102.9024,21723.2,65.2
2022-04-18,84325.0,11545.6,2728.056,0.33,0.3,102.9024,21723.2,65.2
2022-04-19,84325.0,11545.6,2728.056,0.33,0.3,102.9024,21723.2,65.2
2022-04-20,84325.0,11545.6,2728.056,0.33,0.3,102.9024,21723.2,65.2
2022-04-21,84325.0,11545.6,2728.056,0.33,0.3,102.9024,21723.2,65.2
2022-04-22,84325.0,11545.6,2728.056,0.33,0.3,102.9024,21723.2,65.2
2022-04-23,84325.0,11545.6,2728.056,0.33,0.3,102.9024,21723.2,65.2
2022-04-24,84325.0,11545.6,2728.056,0.33,0.3,102.9024,21723.2,65.2
2022-04-25,84325.0,11545.6,2728.056,0.33,0.3,102.9024,21723.2,65.2
2022-04-26,84325.0,11545.6,2728.056,0.33,0.3,102.9024,21723.2,65.2
2022-04-27,84325.0,11545.6,2728.056,0.33,0.3,102.9024,21723.2,65.2
2022-04-28,84325.0,11545.6,2728.056,0.33,0.3,102.9024,21723.2,65.2
2022-04-29,84325.0,11545.6,2728.056,0.33,0.3,102.9024,21723.2,65.2
2022-04-30,84325.0,11545.6,2728.056,0.33,0.3,102.9024,21723.2,65.2
2022-05-01,81384.0,11627.6,2728.056,0.33,0.3,102.9659,21696.6,58.4
2022-05-02,81384.0,11627.6,2728.056,0.33,0.3,102.9659,21696.6,58.4
2022-05-03,81384.0,11627.6,2728.056,0.33,0.3,102.9659,21696.6,58.4
2022-05-04,81384.0,11627.6,2728.056,0.33,0.3,102.9659,21696.6,58.4
2022-05-05,81384.0,11627.6,2728.056,0.83,0.3,102.9659,21696.6,58.4
2022-05-06,81384.0,11627.6,2728.056,0.83,0.3,102.9659,21696.6,58.4
2022-05-07,81384.0,11627.6,2728.056,0.83,0.3,102.9659,21696.6,58.4
2022-05-08,81384.0,11627.6,2728.056,0.83,0.3,102.9659,21696.6,58.4
2022-05-09,81384.0,11627.6,2728.056,0.83,0.3,102.9659,21696.6,58.4
2022-05-10,81384.0,11627.6,2728.056,0.83,0.3,102.9659,21696.6,58.4
2022-05-11,81384.0,11627.6,2728.056,0.83,0.3,102.9659,21696.6,58.4
2022-05-12,81384.0,11627.6,2728.056,0.83,0.3,102.9659,21696.6,58.4
2022-05-13,81384.0,11627.6,2728.056,0.83,0.3,102.9659,21696.6,58.4
2022-05-14,81384.0,11627.6,2728.056,0.83,0.3,102.9659,21696.6,58.4
2022-05-15,81384.0,11627.6,2728.056,0.83,0.3,102.9659,21696.6,58.4
2022-05-16,81384.0,11627.6,2728.056,0.83,0.3,102.9659,21696.6,58.4
2022-05-17,81384.0,11627.6,2728.056,0.83,0.3,102.9659,21696.6,58.4
2022-05-18,81384.0,11627.6,2728.056,0.83,0.3,102.9659,21696.6,58.4
2022-05-19,81384.0,11627.6,2728.056,0.83,0.3,102.9659,21696.6,58.4
2022-05-20,81384.0,11627.6,2728.056,0.83,0.3,102.9659,21696.6,58.4
2022-05-21,81384.0,11627.6,2728.056,0.83,0.3,102.9659,21696.6,58.4
