level_0,index,Date,Adj_Closed_price,Log_Return,Next_day_Adj_Open_price,ma_10,ma_30,ema_10,volatility_10,rsi_14,interest_rate_mom,gdp_growth_mom,business_investment_mom,software_spending_mom,corporate_earnings_mom,industrial_production_mom,m2_money_supply_mom,consumer_sentiment_mom,daily_sentiment_score
21,21,2022-03-30,80.03326416015625,-0.011094440219008503,79.79323804514802,78.78993682861328,0.0,78.7070779001949,0.014194499350745498,70.1743839888223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,22,2022-03-31,79.42840576171875,-0.007586290794800483,79.72603030160403,78.99443740844727,0.0,78.83822842047196,0.014578224208045823,65.25792380816917,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,23,2022-04-01,78.73713684082031,-0.008741136799172721,78.96756066648257,79.02612075805663,0.0,78.81984813326257,0.014446714889676002,65.37985005502205,,,,,,,,,10.0
24,24,2022-04-04,80.71492767333984,0.024808612874341312,80.07166918398096,79.32470932006837,0.0,79.16440804964026,0.015898921704907535,61.891742037949435,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,25,2022-04-05,79.6300277709961,-0.013532280514791245,78.6507125500975,79.43416137695313,0.0,79.24906618079586,0.016581432488008058,59.88070715709631,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,26,2022-04-06,78.84273529052734,-0.009936079139569953,78.31262348994551,79.6002571105957,0.0,79.17518783711067,0.015792821968558596,54.98032635955374,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,27,2022-04-07,78.5921401977539,-0.0031834789291125113,78.75598385425812,79.56367492675781,0.0,79.06917917540943,0.014064805349847432,50.61969225317275,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,28,2022-04-08,78.01382446289062,-0.007385649262283444,77.71503044961146,79.51822662353516,0.0,78.877296500406,0.014122484043986394,51.03544083143731,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,29,2022-04-11,76.8764877319336,-0.014685969138807781,77.05960928279737,79.17950820922852,76.89016036987304,78.51351308795647,0.012093968664512934,44.10969115907851,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.545454545454546
30,30,2022-04-12,76.46202850341797,-0.005405820377016957,76.39458367161505,78.73309783935547,77.00634180704752,78.14051589076765,0.011264363083607181,47.2619251476585,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,31,2022-04-13,76.86686706542969,0.005280668086316182,76.94396459064359,78.41645812988281,77.06337102254231,77.90894337706983,0.01157483063453951,41.11835539021892,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,32,2022-04-14,76.57769775390625,-0.003769043943455039,76.28853704737479,78.13138732910156,77.11172103881836,77.66689871831281,0.011507512373637438,41.83076174489122,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5
33,33,2022-04-18,75.39215850830078,-0.015602611273750195,75.42107776612549,77.79688949584961,77.1768788655599,77.25330958921971,0.012036859919909864,27.779374722902958,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,34,2022-04-19,76.6837158203125,0.01698610475517074,76.90542043783367,77.39376831054688,77.35453516642252,77.14974708578202,0.010016639987824481,31.69919195802079,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,35,2022-04-20,77.38734436035156,0.009133881873149775,78.54394943060761,77.16949996948242,77.58732884724935,77.1929465902492,0.010457234269454246,38.396666541757895,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.333333333333332
36,36,2022-04-21,76.60662078857422,-0.010139751387745703,76.40420565947443,76.94588851928711,77.70545018513998,77.08634189903557,0.010472741213614493,37.81340714015058,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.57142857142857
37,37,2022-04-22,73.454833984375,-0.042012792562494156,73.44519121912036,76.43215789794922,77.70090967814127,76.42606773273364,0.01622014036559837,31.18561071315993,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.0
38,38,2022-04-25,74.1969985961914,0.010052985448988831,73.58977580646877,76.0504753112793,77.683664449056,76.02078243518051,0.017061048734235328,24.54392785800441,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.666666666666664
39,39,2022-04-26,71.81629943847656,-0.032612237200231244,71.88375810878176,75.5444564819336,77.61106516520182,75.25633098123433,0.019019332068462368,22.288021811093543,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.285714285714285
40,40,2022-04-27,72.0572509765625,0.003349493533211066,72.78977142774308,75.10397872924804,77.43352686564127,74.67468007129399,0.019290680058756747,24.96457438309885,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
